open,high,low,close,volume
250.11,250.98,248.7,248.84,254696.0
248.77,249.85,248.6,249.56,224585.0
249.47,250.05,249.33,249.84,107096.0
249.77,250.16,249.61,249.64,207517.0
249.64,250.47,249.31,250.32,321071.0
250.32,250.59,249.93,249.99,118502.0
250.14,250.31,249.8,249.96,95132.0
249.96,250.15,249.44,249.58,173319.0
249.55,250.06,249.3,249.43,202810.0
249.43,249.5,249.2,249.49,40826.0
249.49,249.75,249.36,249.51,60133.0
249.51,249.91,249.39,249.88,88456.0
249.88,250.68,249.85,250.65,86626.0
250.65,250.7,250.37,250.52,32639.0
250.52,250.7,250.0,250.51,71045.0
250.52,250.67,250.21,250.38,59373.0
250.4,250.47,250.07,250.17,21182.0
250.17,250.28,250.05,250.1,18206.0
250.16,250.34,250.07,250.31,28782.0
250.2,250.35,250.0,250.06,26635.0
250.06,250.11,250.0,250.08,18350.0
250.08,250.22,250.02,250.06,20721.0
250.13,250.49,250.03,250.19,50743.0
250.19,250.6,250.08,250.55,61463.0
250.55,250.55,250.01,250.2,33016.0
250.2,250.26,250.0,250.13,17751.0
250.13,250.14,250.0,250.05,16242.0
250.05,250.09,249.95,250.08,40678.0
250.08,250.35,250.04,250.11,27647.0
250.24,250.25,250.1,250.15,8684.0
250.15,250.21,250.1,250.11,18984.0
250.2,250.29,250.1,250.18,29702.0
250.11,250.19,250.0,250.02,113781.0
250.02,250.05,249.84,250.0,58723.0
250.0,250.15,249.92,250.15,22369.0
250.15,250.2,249.95,250.02,80631.0
250.03,250.11,249.72,249.85,34734.0
249.85,249.98,249.64,249.84,48911.0
249.83,250.14,249.7,250.03,57677.0
250.14,250.14,250.0,250.03,24279.0
250.03,250.09,249.9,250.06,61491.0
250.06,250.08,248.81,248.88,714574.0
248.96,249.12,248.45,248.78,129289.0
248.78,248.81,248.7,248.76,25026.0
248.78,248.8,248.5,248.6,47849.0
248.6,248.69,248.4,248.69,38836.0
248.69,248.69,248.21,248.3,59174.0
248.3,248.33,247.8,247.9,148736.0
247.99,248.2,247.88,248.11,39722.0
248.02,248.1,247.69,247.69,61082.0
247.69,247.83,247.67,247.7,37382.0
247.77,247.89,247.64,247.85,42024.0
247.85,247.89,247.75,247.84,26076.0
247.76,247.9,247.7,247.82,50522.0
247.82,247.9,247.58,247.85,33091.0
247.81,247.9,247.65,247.75,27289.0
247.75,247.81,247.61,247.72,35645.0
247.72,247.83,247.5,247.6,55473.0
247.6,248.06,247.55,247.98,84457.0
