open,high,low,close,volume
402.0,402.2,400.25,400.6,255895.0
400.5,400.75,400.05,400.7,107097.0
400.6,400.75,399.75,399.75,135274.0
399.85,400.0,399.45,399.85,79757.0
399.85,400.95,399.65,400.35,64688.0
400.5,400.5,399.25,399.55,77984.0
399.75,400.9,399.65,400.85,84784.0
400.85,401.75,400.75,400.8,148654.0
400.8,400.85,400.15,400.2,68072.0
400.3,400.45,400.0,400.45,32692.0
400.45,401.65,400.25,400.65,49795.0
400.65,400.8,399.8,400.35,59784.0
400.35,401.15,400.35,400.95,39850.0
401.2,401.35,400.9,401.25,60804.0
401.35,401.45,400.55,400.8,39551.0
400.8,401.15,400.15,400.6,85441.0
400.6,400.8,400.5,400.6,30274.0
400.6,400.75,400.3,400.75,45213.0
400.75,400.9,400.5,400.6,32426.0
400.6,400.75,400.35,400.55,34822.0
400.55,400.75,400.4,400.55,30198.0
400.45,400.8,400.3,400.7,19988.0
400.75,400.85,400.55,400.7,31004.0
400.55,401.5,400.5,401.4,63228.0
401.4,401.7,401.15,401.7,64113.0
401.6,402.5,401.55,402.45,123810.0
402.45,402.5,402.25,402.35,52571.0
402.35,402.5,402.1,402.35,41765.0
402.35,403.0,402.1,402.9,69454.0
402.9,403.15,402.7,402.8,108367.0
402.8,403.5,402.55,403.5,110188.0
403.45,403.7,403.3,403.3,121518.0
403.45,403.7,403.3,403.35,67888.0
403.35,403.6,403.2,403.55,74573.0
403.6,404.1,403.55,404.1,130078.0
404.1,404.5,403.95,404.45,136991.0
404.45,404.45,404.0,404.2,81117.0
404.2,405.3,404.1,405.25,283047.0
405.3,405.65,404.5,404.9,167448.0
404.9,405.05,404.45,404.95,109684.0
405.0,405.0,404.1,404.3,99597.0
404.45,404.45,404.05,404.15,46096.0
404.15,404.15,403.75,403.9,109231.0
403.95,403.95,403.1,403.3,61879.0
403.35,403.35,402.65,402.85,287823.0
402.95,403.65,402.75,403.0,200789.0
402.9,403.0,402.3,402.4,93786.0
402.5,402.6,402.25,402.3,48907.0
402.25,402.6,402.25,402.35,46377.0
402.5,403.25,402.3,402.95,511185.0
403.05,403.5,402.95,403.45,82813.0
403.45,403.5,402.85,403.15,120802.0
403.2,403.85,403.15,403.35,100707.0
403.25,403.4,403.1,403.15,38176.0
403.2,403.3,403.1,403.1,49291.0
403.2,403.45,403.1,403.25,38784.0
403.35,403.5,403.1,403.45,40813.0
403.45,403.6,403.3,403.4,32638.0
403.4,403.55,403.3,403.45,17181.0
