open,high,low,close,volume
247.0,248.9,245.25,247.05,35422.0
247.05,248.2,245.55,247.75,19539.0
247.75,248.1,246.8,247.1,30845.0
247.1,247.65,246.5,247.65,9193.0
247.65,250.0,247.0,249.4,21008.0
249.4,249.4,247.4,247.5,11775.0
247.5,247.7,247.0,247.4,4742.0
247.4,248.9,247.4,247.9,8319.0
248.6,249.1,247.9,249.0,9180.0
249.0,249.35,248.55,249.0,7353.0
249.3,249.65,249.1,249.5,6259.0
249.25,249.65,249.15,249.4,2642.0
249.5,249.5,249.0,249.15,3757.0
249.15,249.5,249.0,249.35,3671.0
249.35,249.4,248.9,249.2,3610.0
249.2,249.3,248.9,249.15,1773.0
248.9,249.25,248.9,249.25,5064.0
249.05,249.5,248.55,248.85,12731.0
249.25,249.5,248.9,249.1,2648.0
249.1,249.35,248.75,249.1,1515.0
249.1,249.1,248.4,248.4,5887.0
248.4,248.9,248.4,248.9,478.0
248.9,249.6,248.9,249.6,6043.0
249.25,249.65,249.1,249.1,5149.0
249.5,249.8,249.0,249.0,4087.0
249.0,249.3,249.0,249.3,4264.0
249.3,250.15,249.0,249.0,18331.0
249.0,249.65,249.0,249.25,1431.0
249.25,249.3,249.0,249.2,1399.0
249.2,249.5,249.0,249.5,2486.0
249.5,249.55,249.0,249.0,3065.0
249.0,249.4,249.0,249.05,447.0
249.05,249.35,249.0,249.05,457.0
249.0,249.4,249.0,249.1,2175.0
249.1,251.0,249.05,250.15,11016.0
250.15,253.0,250.15,252.0,23547.0
252.45,253.2,252.05,253.1,20974.0
253.1,253.15,252.05,252.05,10085.0
252.7,252.9,251.6,251.65,10307.0
252.05,252.15,251.7,251.8,3523.0
251.8,252.4,251.7,252.1,2770.0
252.1,252.6,252.1,252.2,3364.0
252.2,252.75,252.1,252.1,6560.0
252.1,252.2,251.85,251.95,2096.0
251.9,252.2,251.9,252.0,1640.0
252.0,252.45,251.8,251.8,3319.0
251.8,252.35,251.8,252.05,1080.0
252.05,252.7,252.05,252.25,4804.0
252.05,253.1,252.05,252.7,9370.0
252.7,252.95,252.55,252.65,892.0
252.65,253.0,252.65,252.7,884.0
252.7,253.5,252.55,252.55,6119.0
252.55,252.85,252.0,252.15,7547.0
252.15,252.7,252.15,252.25,1091.0
252.25,252.65,252.0,252.05,1059.0
252.4,253.1,252.4,253.0,2282.0
253.15,253.15,252.5,252.55,4516.0
252.55,253.0,252.55,252.65,1414.0
252.65,253.4,252.65,253.1,7235.0
