open,high,low,close,volume
874.9,874.95,866.0,868.0,16007.0
868.0,871.45,868.0,869.0,10770.0
869.0,869.9,865.0,869.3,7129.0
868.55,876.6,867.45,874.05,23688.0
874.8,876.8,874.0,875.55,11367.0
875.05,875.75,872.5,873.2,7019.0
873.8,874.95,872.8,874.85,3114.0
874.85,875.25,873.15,873.15,2744.0
873.15,874.5,872.0,874.25,15374.0
874.25,877.5,873.4,876.7,11807.0
876.7,877.4,871.9,872.85,12785.0
872.85,873.4,871.6,873.0,2341.0
873.0,873.0,871.5,873.0,3030.0
873.0,873.75,871.5,872.6,2524.0
872.6,873.2,871.7,873.15,1609.0
872.7,873.5,871.5,871.9,4687.0
871.9,873.5,871.9,873.5,1810.0
873.5,873.5,872.75,872.75,1072.0
872.75,873.1,867.4,867.85,24920.0
868.0,868.55,864.0,866.75,11910.0
866.75,871.5,865.55,870.75,30696.0
870.75,872.35,869.8,870.85,26793.0
870.85,870.85,868.9,870.5,1952.0
870.5,871.2,869.25,869.25,1624.0
869.25,869.5,867.85,867.85,1491.0
868.35,868.8,867.6,868.15,1056.0
868.15,869.3,867.45,867.45,5945.0
867.45,868.45,865.35,865.95,3015.0
865.95,866.5,865.45,865.55,2241.0
865.55,866.3,863.3,863.8,3905.0
863.2,863.85,862.25,863.0,1778.0
862.85,867.15,862.85,866.0,4087.0
866.0,866.4,864.65,865.25,1870.0
865.25,865.25,864.2,865.15,1939.0
865.15,865.75,864.45,865.3,1823.0
865.35,865.55,864.5,864.55,1780.0
864.5,865.1,863.65,863.65,1433.0
863.65,868.4,863.55,866.85,3026.0
866.85,867.85,866.85,867.75,2679.0
867.75,867.75,864.0,866.4,61119.0
865.75,866.75,865.5,866.15,1521.0
866.15,866.15,864.15,865.7,34433.0
865.7,867.4,857.0,857.2,38577.0
857.65,859.0,854.55,855.5,39842.0
855.5,856.2,854.4,854.7,9674.0
854.45,855.0,851.85,852.65,23654.0
852.3,854.8,852.3,853.45,3261.0
853.0,854.75,852.55,853.7,5265.0
853.7,855.0,853.1,854.85,2267.0
854.85,855.5,854.0,855.45,3123.0
855.45,857.8,855.05,857.8,10540.0
857.3,857.5,853.0,854.0,8450.0
854.0,854.4,853.0,853.55,4258.0
853.55,854.75,853.05,854.7,1746.0
854.7,854.7,852.0,852.75,10776.0
852.75,853.25,851.75,852.45,1929.0
852.45,854.5,852.45,854.15,2438.0
854.15,854.4,851.15,852.5,10702.0
852.5,854.5,852.25,852.6,2927.0
