open,high,low,close,volume
191.0,191.0,189.55,189.9,983488.0
189.9,190.5,189.86,190.1,310636.0
190.09,190.32,189.71,189.89,220894.0
189.9,189.9,188.81,189.09,656307.0
189.12,189.68,188.91,189.59,301424.0
189.59,189.7,189.4,189.55,164030.0
189.55,189.8,189.51,189.75,122138.0
189.75,189.9,189.61,189.88,133680.0
189.83,189.88,189.45,189.65,215492.0
189.69,189.9,189.51,189.76,138054.0
189.76,189.78,189.31,189.4,116473.0
189.4,189.64,189.3,189.64,50725.0
189.55,189.78,189.25,189.75,272575.0
189.78,189.85,189.63,189.71,121464.0
189.71,189.86,189.51,189.67,109159.0
189.67,189.75,189.45,189.5,119102.0
189.51,189.6,189.26,189.34,134103.0
189.34,189.45,189.21,189.42,98631.0
189.42,189.5,189.29,189.4,206569.0
189.4,189.65,189.37,189.52,119357.0
189.52,190.38,189.5,190.1,975604.0
190.15,190.5,189.93,190.03,301596.0
190.01,190.25,189.95,190.07,80893.0
190.12,190.25,190.0,190.1,124586.0
190.1,191.0,190.1,190.93,702512.0
190.93,191.05,190.05,190.37,553599.0
190.37,190.47,190.25,190.4,80530.0
190.35,191.3,190.01,190.97,261066.0
190.89,191.5,190.8,191.26,341918.0
191.26,192.51,191.0,192.38,1259047.0
192.43,192.43,191.98,192.07,313466.0
192.08,193.79,192.08,193.23,1359021.0
193.23,193.6,193.0,193.38,453226.0
193.4,193.5,193.1,193.35,240225.0
193.35,193.6,193.2,193.29,331385.0
193.29,193.51,193.2,193.42,245128.0
193.4,193.43,192.57,192.85,241010.0
192.85,193.05,192.67,192.8,196868.0
192.69,192.81,192.4,192.56,199976.0
192.56,192.64,192.4,192.5,127755.0
192.5,192.9,192.5,192.76,128853.0
192.75,192.75,192.2,192.27,136149.0
192.27,192.59,192.21,192.5,114985.0
192.5,192.55,192.31,192.45,71562.0
192.45,192.74,192.45,192.61,60985.0
192.61,192.76,192.6,192.61,54795.0
192.6,193.14,192.52,193.05,233513.0
193.0,193.05,192.83,192.98,122868.0
192.98,193.78,192.96,193.59,455172.0
193.59,193.85,193.4,193.69,314220.0
193.69,193.79,193.51,193.63,145612.0
193.63,193.85,193.55,193.64,177737.0
193.68,193.74,193.5,193.59,112676.0
193.59,193.8,193.52,193.7,166223.0
193.7,193.74,193.5,193.6,105252.0
193.6,193.65,193.49,193.58,79164.0
193.5,193.6,193.5,193.5,71007.0
193.54,194.29,193.22,194.24,622438.0
194.28,194.3,194.0,194.03,152620.0
