open,high,low,close,volume
540.0,541.0,534.25,536.1,74817.0
536.0,536.2,535.4,536.0,34447.0
535.95,536.0,534.8,535.35,42628.0
535.35,535.35,533.65,534.05,35532.0
534.05,534.1,532.6,533.0,51536.0
533.0,533.5,532.25,532.6,26740.0
532.6,532.65,531.05,531.85,54077.0
531.85,532.5,531.1,531.8,42452.0
531.75,531.9,531.25,531.65,21734.0
531.8,532.85,531.2,532.7,36687.0
532.7,533.2,532.5,533.1,27443.0
533.1,533.7,532.95,533.25,29695.0
533.25,534.35,533.25,533.65,38632.0
533.55,534.0,533.0,533.95,39068.0
533.85,534.5,533.65,534.3,16066.0
534.3,534.45,533.75,533.75,21131.0
533.75,534.5,533.75,534.25,10607.0
534.5,534.85,534.1,534.45,11777.0
534.45,534.75,534.35,534.5,8151.0
534.5,534.6,534.1,534.25,9839.0
534.25,534.35,534.0,534.3,6028.0
534.3,534.75,534.25,534.5,9828.0
534.3,534.6,533.8,534.45,171216.0
534.45,534.85,534.2,534.5,45362.0
534.5,535.5,534.2,535.35,213594.0
535.35,536.3,534.6,535.6,51201.0
535.6,537.1,535.1,536.45,35469.0
536.4,536.8,535.0,535.3,751494.0
535.6,537.5,535.3,537.45,104133.0
537.4,538.85,537.15,537.15,86087.0
537.3,537.75,536.75,537.65,36718.0
537.55,538.0,537.45,537.85,20398.0
