open,high,low,close,volume
548.15,548.15,545.0,545.05,949.0
545.05,548.95,544.0,546.0,7473.0
546.0,546.95,545.05,546.15,447.0
546.15,546.75,545.35,546.05,381.0
546.05,548.0,546.0,547.0,982.0
547.0,547.45,546.15,547.45,478.0
547.55,548.8,547.5,548.8,503.0
548.8,548.9,548.2,548.2,29.0
548.2,549.5,548.2,549.5,366.0
549.5,551.0,549.3,550.8,1123.0
550.8,550.8,550.0,550.45,474.0
550.45,550.5,549.95,550.5,204.0
550.5,552.0,550.4,551.95,1251.0
551.95,551.95,551.2,551.9,346.0
551.9,552.5,551.35,552.0,348.0
552.0,552.8,551.65,551.65,100.0
551.65,552.95,551.65,552.9,508.0
553.2,554.65,552.35,553.05,1529.0
553.05,553.05,551.65,552.0,665.0
552.0,552.6,551.7,552.6,423.0
552.6,552.6,552.6,552.6,80.0
553.0,553.4,553.0,553.4,218.0
553.8,553.95,553.3,553.75,190.0
553.75,553.95,553.35,553.35,8.0
553.35,553.9,553.3,553.3,42.0
553.9,554.0,553.9,553.9,215.0
553.9,553.9,552.6,552.8,550.0
552.8,554.3,552.8,554.1,233.0
554.1,554.1,552.9,553.7,95.0
553.7,553.7,552.9,552.9,39.0
552.9,553.8,552.75,552.75,116.0
552.75,552.85,552.75,552.8,31.0
552.8,553.35,552.6,553.2,65.0
553.2,558.0,553.05,555.4,3679.0
555.4,556.15,554.85,554.85,306.0
554.85,555.15,554.55,554.7,43.0
554.7,555.65,553.95,553.95,776.0
553.95,555.0,553.95,555.0,284.0
555.0,555.25,554.05,555.25,362.0
555.25,555.35,554.0,554.0,457.0
554.0,554.0,553.0,553.0,368.0
553.0,554.3,553.0,554.3,190.0
554.3,554.55,553.65,554.05,76.0
554.05,554.6,554.0,554.0,65.0
554.0,554.0,554.0,554.0,0.0
554.0,554.0,553.7,553.95,18.0
553.95,554.0,553.35,553.35,160.0
553.5,554.15,553.35,554.15,339.0
554.15,554.7,554.15,554.2,109.0
554.2,554.5,554.2,554.5,203.0
554.5,554.5,554.5,554.5,8.0
554.5,555.2,554.15,555.15,205.0
555.15,555.25,554.3,555.0,196.0
555.0,555.4,554.15,554.15,453.0
554.15,554.7,554.15,554.7,142.0
554.7,555.0,554.7,555.0,122.0
555.0,555.0,554.3,554.35,117.0
554.35,554.75,554.15,554.75,110.0
554.75,554.75,554.15,554.15,261.0
