open,high,low,close,volume
226.35,226.35,224.0,224.49,9811.0
224.49,225.0,224.27,224.29,6962.0
224.29,224.36,223.76,223.9,1717.0
223.9,224.0,223.0,223.59,7409.0
223.59,224.48,223.44,224.12,2423.0
224.12,224.22,223.46,223.81,3460.0
223.81,224.39,223.81,224.17,2021.0
224.16,224.16,223.83,223.83,858.0
223.83,224.2,223.21,223.85,4209.0
223.85,223.99,223.41,223.96,1490.0
223.96,223.96,223.45,223.9,881.0
223.9,223.9,223.22,223.6,4331.0
223.3,223.6,223.14,223.46,2767.0
223.46,224.2,223.46,224.19,4274.0
224.2,224.2,223.7,223.7,667.0
223.7,223.85,223.45,223.45,1315.0
223.4,223.78,223.4,223.53,2090.0
223.53,223.94,223.53,223.94,354.0
223.94,223.97,223.64,223.7,1357.0
223.54,223.62,223.31,223.31,1072.0
223.31,223.31,223.21,223.21,500.0
223.42,223.42,223.02,223.11,1586.0
223.0,223.09,222.62,222.7,1931.0
222.7,223.09,222.7,222.71,771.0
222.71,223.27,222.71,223.1,2154.0
223.1,223.19,222.67,222.84,1290.0
222.81,222.81,222.5,222.76,1817.0
222.76,222.76,222.0,222.3,3033.0
222.52,222.52,222.0,222.36,3815.0
222.36,222.53,222.01,222.01,1659.0
222.01,222.8,222.01,222.8,3112.0
222.8,222.8,222.23,222.23,599.0
222.23,222.62,222.2,222.23,1505.0
222.47,222.47,222.0,222.29,4717.0
222.32,222.41,222.01,222.4,613.0
222.4,222.5,222.21,222.21,201.0
222.51,222.6,222.51,222.51,511.0
222.51,222.67,222.01,222.32,3162.0
222.32,222.98,222.05,222.8,3450.0
222.8,222.8,222.51,222.51,98.0
222.51,222.61,222.48,222.61,650.0
222.61,222.61,222.09,222.1,763.0
222.44,222.44,222.06,222.3,1955.0
222.06,222.06,222.06,222.06,148.0
222.06,222.29,222.01,222.05,1205.0
222.05,222.21,222.05,222.21,1056.0
222.21,222.28,222.05,222.28,202.0
222.28,222.3,222.0,222.14,763.0
222.13,222.3,222.13,222.14,292.0
222.14,222.75,222.14,222.42,2524.0
222.36,222.74,222.36,222.72,1115.0
222.72,223.64,222.46,222.91,6930.0
222.91,224.59,222.91,223.29,5055.0
223.29,224.38,223.29,224.38,6996.0
224.38,224.74,224.0,224.63,1959.0
224.92,224.92,224.5,224.5,886.0
224.5,224.5,224.19,224.5,5693.0
224.5,225.7,224.06,224.85,2870.0
224.85,225.61,224.61,225.56,1387.0
