open,high,low,close,volume
143.0,143.01,142.12,142.45,266629.0
142.42,142.51,141.92,142.0,252921.0
141.95,142.11,141.85,141.94,90752.0
141.93,141.97,141.56,141.63,124174.0
141.62,141.8,141.57,141.75,53073.0
141.72,141.75,141.55,141.68,53254.0
141.68,141.69,141.6,141.69,45044.0
141.69,141.69,141.52,141.61,75705.0
141.61,141.65,141.51,141.65,52984.0
141.65,141.75,141.58,141.74,59470.0
141.75,141.75,141.53,141.6,73583.0
141.6,141.83,141.55,141.8,42286.0
141.8,142.05,141.8,142.03,70905.0
142.03,142.2,141.98,142.14,73706.0
142.14,142.25,142.05,142.1,52259.0
142.1,142.18,142.0,142.0,45447.0
142.0,142.2,141.99,142.04,42067.0
142.04,142.2,142.0,142.2,21422.0
142.19,142.26,142.11,142.16,25884.0
142.16,142.16,142.0,142.06,42769.0
142.06,142.11,142.04,142.1,17494.0
142.09,142.18,142.09,142.14,25008.0
142.14,142.2,142.11,142.14,14551.0
142.14,142.25,142.13,142.25,66348.0
142.25,142.44,142.24,142.31,84010.0
142.31,142.67,142.26,142.4,106247.0
142.42,142.56,142.25,142.55,74778.0
142.55,142.58,142.32,142.35,16607.0
142.35,142.57,142.31,142.53,102266.0
142.54,142.57,142.38,142.42,39560.0
142.42,142.45,142.29,142.39,32875.0
142.39,142.45,142.29,142.42,28871.0
142.42,142.42,142.3,142.31,28702.0
142.31,142.35,142.3,142.35,21943.0
142.35,142.35,142.3,142.31,28273.0
142.31,142.35,142.25,142.3,39466.0
142.3,142.43,142.22,142.29,55903.0
142.29,142.33,142.2,142.2,18321.0
142.2,142.25,142.2,142.24,28543.0
142.2,142.24,142.07,142.09,29165.0
142.09,142.1,142.0,142.1,47485.0
142.07,142.1,141.93,142.03,67530.0
142.03,142.04,141.99,142.0,31222.0
142.0,142.02,141.92,141.94,37327.0
141.95,141.95,141.82,141.87,21783.0
141.87,141.87,141.81,141.83,18900.0
141.82,141.83,141.63,141.74,74865.0
141.74,141.85,141.7,141.85,18792.0
141.85,141.86,141.76,141.78,21296.0
141.78,141.85,141.77,141.77,23801.0
141.78,141.9,141.77,141.8,44826.0
141.81,141.95,141.81,141.95,16237.0
141.91,141.94,141.88,141.9,15698.0
141.89,142.07,141.88,141.99,35446.0
141.99,142.03,141.88,141.92,33299.0
141.92,142.14,141.88,142.05,54576.0
142.12,142.19,141.97,142.16,60579.0
142.16,142.17,141.81,141.9,69776.0
141.9,141.94,141.86,141.94,13735.0
