open,high,low,close,volume
378.4,384.9,378.4,382.05,25921.0
382.05,382.1,379.35,381.15,19441.0
381.15,382.0,378.05,378.55,9181.0
378.55,378.7,377.1,377.6,16970.0
377.6,377.85,376.85,377.4,6239.0
377.4,377.7,376.5,376.75,2437.0
376.75,379.95,376.2,379.5,20307.0
379.5,379.5,378.8,378.8,1767.0
379.35,379.35,378.7,378.95,708.0
379.15,379.95,379.15,379.45,874.0
379.45,379.8,378.2,378.2,7361.0
378.2,378.65,376.65,377.55,21547.0
377.55,378.7,377.55,378.5,5651.0
378.5,379.35,378.0,378.2,9398.0
378.2,379.8,378.2,378.75,15160.0
378.75,379.1,378.15,378.15,499.0
377.95,378.9,377.65,378.9,5048.0
378.9,379.25,378.85,379.0,348.0
379.0,379.0,378.0,378.0,1415.0
378.5,378.5,377.1,377.65,671.0
377.65,378.2,377.25,377.6,807.0
377.6,378.4,377.6,378.4,375.0
378.5,379.0,378.25,378.5,2918.0
378.5,378.5,377.75,377.75,543.0
377.75,378.25,377.75,378.25,576.0
378.25,378.25,377.25,377.25,1574.0
377.25,377.5,377.1,377.35,603.0
377.35,377.35,377.1,377.3,889.0
377.3,377.3,377.0,377.2,991.0
377.2,377.2,377.0,377.0,265.0
377.0,377.0,376.55,376.7,3277.0
376.7,376.85,376.6,376.6,44.0
376.6,377.0,376.5,377.0,453.0
376.85,377.6,376.85,377.15,1648.0
377.15,377.15,376.2,376.2,2569.0
376.2,377.2,376.1,377.2,2562.0
377.2,377.2,376.4,376.65,108.0
376.65,377.2,376.4,376.85,1737.0
376.85,377.1,376.75,376.75,202.0
376.85,376.85,375.55,375.55,4424.0
375.55,376.1,375.45,376.1,667.0
376.1,376.1,375.75,376.05,128.0
375.6,376.1,375.6,375.65,2646.0
375.65,375.9,375.65,375.9,164.0
376.05,376.05,375.85,376.0,687.0
376.0,376.0,375.05,375.4,4951.0
375.4,375.7,375.05,375.15,476.0
375.15,375.35,375.0,375.15,605.0
375.4,375.4,375.15,375.15,1312.0
375.15,375.2,375.0,375.0,4152.0
375.0,375.75,375.0,375.75,2192.0
375.75,375.75,375.0,375.25,1026.0
375.05,375.45,375.05,375.25,441.0
375.25,375.25,375.05,375.05,519.0
375.05,375.6,375.05,375.6,145.0
375.6,375.65,375.3,375.3,183.0
375.6,375.6,375.0,375.0,2834.0
375.0,375.0,373.5,373.8,6876.0
373.8,374.0,373.55,373.55,2342.0
