open,high,low,close,volume
1580.1,1589.0,1577.6,1586.4,3876.0
1587.3,1589.4,1585.3,1588.2,1666.0
1588.2,1589.0,1584.8,1585.1,1784.0
1585.1,1586.1,1578.3,1578.3,1688.0
1578.3,1579.9,1576.1,1577.1,1916.0
1577.1,1580.4,1575.9,1579.6,954.0
1579.6,1591.7,1579.6,1583.6,6038.0
1583.6,1585.8,1579.8,1580.7,2566.0
1580.7,1582.8,1580.3,1582.0,811.0
1582.0,1582.0,1576.2,1578.0,1620.0
1578.0,1579.5,1573.9,1576.0,3444.0
1576.0,1576.9,1572.5,1575.3,2596.0
1575.3,1576.6,1570.0,1571.5,1703.0
1571.0,1572.0,1570.0,1571.9,1195.0
1571.9,1572.0,1570.3,1571.9,492.0
1571.9,1573.2,1570.2,1570.2,1254.0
1571.3,1572.9,1570.0,1571.4,1886.0
1571.4,1573.9,1570.0,1570.9,1803.0
1570.9,1574.1,1570.6,1572.2,2065.0
1572.2,1573.5,1571.9,1573.0,789.0
1573.0,1577.3,1571.6,1577.3,1314.0
1577.3,1578.0,1576.1,1576.1,579.0
1576.1,1577.5,1575.5,1577.5,872.0
1576.8,1577.5,1576.3,1576.4,258.0
1576.4,1578.0,1575.3,1577.8,3489.0
1577.8,1578.3,1576.1,1577.0,1855.0
1577.0,1578.7,1576.5,1578.5,415.0
1578.5,1580.8,1576.9,1580.7,3531.0
1580.7,1581.8,1579.2,1579.2,619.0
1579.2,1580.5,1578.4,1578.5,456.0
1578.5,1579.7,1577.0,1577.4,426.0
1577.4,1578.9,1576.6,1576.6,403.0
1576.6,1578.0,1576.1,1577.3,259.0
1577.3,1579.0,1575.7,1578.1,642.0
1578.1,1578.6,1577.0,1578.6,341.0
1578.6,1578.8,1577.1,1577.6,334.0
1577.6,1580.0,1577.6,1580.0,866.0
1578.3,1579.6,1577.5,1579.0,903.0
1579.0,1581.1,1577.7,1580.1,826.0
1580.1,1581.0,1579.0,1580.7,824.0
1580.5,1581.3,1579.8,1580.8,163.0
1580.8,1580.8,1579.0,1579.9,194.0
1579.9,1579.9,1577.4,1577.7,711.0
1577.7,1579.0,1566.6,1566.9,8386.0
1566.9,1568.0,1564.0,1566.9,4702.0
1566.9,1568.4,1565.6,1565.9,3405.0
1565.3,1567.9,1564.7,1565.0,4555.0
1565.0,1566.2,1564.2,1564.4,3477.0
1564.4,1565.8,1563.2,1564.3,3419.0
1564.3,1566.2,1563.5,1564.8,3630.0
1564.8,1566.8,1562.2,1566.0,5176.0
1565.9,1567.8,1564.5,1567.1,3348.0
1567.1,1567.9,1565.2,1565.9,3360.0
1565.9,1567.4,1565.2,1565.3,2949.0
1565.3,1566.4,1558.9,1560.8,15065.0
1560.8,1561.9,1558.9,1560.1,3862.0
1560.1,1562.2,1559.9,1560.1,5032.0
1560.1,1561.2,1557.1,1560.0,2460.0
1560.0,1560.0,1553.9,1554.8,3843.0
