open,high,low,close,volume
229.5,236.15,227.01,227.66,4530.0
227.49,228.6,227.49,228.47,6335.0
228.47,228.47,227.84,227.84,1541.0
227.84,227.84,226.08,226.34,1577.0
226.34,234.46,226.05,234.4,18280.0
234.4,234.5,231.0,232.27,18027.0
232.27,232.59,229.45,229.45,8282.0
229.45,230.66,229.1,230.46,3431.0
230.46,230.46,229.85,230.13,715.0
230.13,230.21,229.0,229.73,1644.0
229.73,229.73,229.14,229.4,540.0
229.4,229.4,228.52,229.33,1126.0
229.33,229.94,229.33,229.92,133.0
229.92,230.2,229.66,230.2,773.0
230.2,230.8,230.2,230.62,1107.0
230.62,230.62,230.2,230.2,1884.0
230.2,230.9,230.2,230.67,832.0
230.67,231.24,230.51,231.24,3285.0
231.24,232.01,231.04,231.12,3103.0
231.12,231.48,231.1,231.46,280.0
231.12,231.46,230.57,230.88,1980.0
230.51,230.92,230.37,230.62,1659.0
230.62,230.62,230.14,230.56,294.0
230.56,230.56,230.28,230.53,36.0
230.53,230.53,230.22,230.47,306.0
230.2,230.2,230.01,230.2,145.0
230.2,230.2,229.26,229.83,378.0
229.83,231.53,229.83,231.32,1711.0
231.56,231.56,230.73,230.97,187.0
230.97,231.0,230.29,230.81,161.0
230.81,230.81,229.61,230.35,764.0
230.35,230.49,229.85,230.21,142.0
230.21,230.21,227.96,228.82,7234.0
228.8,229.0,228.65,228.98,484.0
228.98,229.0,228.66,228.99,37.0
228.99,228.99,228.2,228.53,364.0
228.6,228.73,228.54,228.73,108.0
228.73,228.91,228.51,228.61,148.0
228.9,230.4,228.54,230.19,5592.0
230.19,230.19,229.34,229.69,472.0
229.69,229.69,229.36,229.69,132.0
229.69,230.23,229.69,229.96,647.0
230.23,230.23,229.52,229.84,591.0
229.84,229.88,229.64,229.88,39.0
229.88,230.26,229.66,230.05,357.0
230.05,230.05,229.55,229.89,515.0
229.88,229.88,229.55,229.57,1189.0
229.86,229.86,229.56,229.82,201.0
230.16,230.49,230.16,230.49,156.0
230.49,230.49,230.15,230.15,13.0
230.15,230.38,229.85,230.0,162.0
230.0,230.0,230.0,230.0,125.0
230.0,230.2,230.0,230.2,49.0
230.2,230.49,230.07,230.49,118.0
230.49,230.49,230.0,230.32,405.0
230.32,230.5,230.0,230.5,3216.0
230.5,230.69,230.25,230.53,85.0
230.53,230.72,230.19,230.19,253.0
230.19,230.75,230.01,230.48,209.0
