open,high,low,close,volume
581.0,589.0,581.0,582.65,8950.0
583.2,583.9,582.3,583.0,4756.0
583.0,583.7,581.9,581.9,3023.0
581.9,583.2,581.0,582.75,4518.0
582.75,584.95,582.4,583.75,7223.0
582.95,585.2,582.55,584.05,4037.0
584.0,584.5,583.8,584.4,341.0
584.4,585.95,583.8,584.65,1117.0
584.65,586.95,583.1,586.95,1673.0
586.95,589.4,585.0,587.5,3168.0
587.5,588.95,587.3,587.4,2667.0
587.4,588.0,586.35,587.6,786.0
588.4,588.8,587.05,587.75,2281.0
587.75,589.1,587.3,589.1,3645.0
589.1,589.1,585.05,585.95,5323.0
585.95,586.05,583.1,584.0,3429.0
584.0,584.0,582.9,583.0,3977.0
583.0,584.45,582.9,584.45,977.0
584.45,585.45,583.95,585.45,958.0
584.8,585.35,584.45,584.6,2630.0
584.6,585.0,583.6,584.0,889.0
584.0,585.0,584.0,585.0,427.0
585.0,585.35,584.25,585.0,359.0
585.0,585.0,584.2,584.8,582.0
584.8,584.95,582.55,583.7,2526.0
583.7,584.45,583.7,584.05,289.0
584.05,584.35,583.1,583.15,543.0
583.15,583.6,582.0,582.6,2125.0
583.3,583.35,580.2,582.75,5645.0
582.75,583.3,582.0,582.45,357.0
582.45,582.45,581.1,581.5,1063.0
581.5,582.8,581.5,582.4,458.0
582.4,582.5,581.8,582.05,530.0
582.05,582.75,582.05,582.25,285.0
582.1,582.3,582.05,582.05,795.0
582.05,583.45,582.05,582.6,1087.0
582.6,583.65,582.55,583.4,1200.0
583.4,583.95,583.15,583.2,544.0
583.2,584.2,583.15,584.0,1006.0
584.0,584.0,583.05,583.5,743.0
583.5,583.5,582.0,582.1,1480.0
583.3,583.3,581.65,581.8,2893.0
581.8,581.95,580.3,580.55,743.0
580.55,582.55,580.55,582.55,2362.0
582.0,582.55,581.3,581.3,1444.0
581.3,582.4,581.15,582.0,377.0
582.0,582.0,581.4,581.4,270.0
581.4,581.75,581.0,581.0,223.0
581.5,582.0,581.25,581.95,203.0
581.95,581.95,580.5,581.95,2139.0
581.95,583.0,581.95,582.65,835.0
582.65,582.65,580.8,581.9,289.0
581.5,581.95,581.0,581.75,301.0
581.75,581.95,581.65,581.65,388.0
581.65,581.95,581.05,581.9,2696.0
581.9,583.3,581.9,582.8,590.0
582.8,582.8,581.0,581.0,551.0
581.45,581.9,581.0,581.15,229.0
581.15,581.65,580.75,581.4,249.0
