open,high,low,close,volume
143.0,143.93,142.8,143.8,3707.0
143.8,144.1,143.5,143.5,2737.0
143.5,143.6,143.07,143.07,2156.0
143.07,143.99,143.07,143.19,2048.0
143.19,143.73,143.19,143.73,266.0
143.75,144.03,143.32,143.32,4413.0
143.32,144.26,143.32,143.97,3237.0
143.78,144.0,142.32,142.9,14695.0
142.9,144.0,142.9,143.6,2873.0
143.6,144.65,143.6,144.18,6942.0
144.18,145.0,144.09,145.0,5897.0
144.56,144.56,144.27,144.27,198.0
144.27,144.4,144.0,144.17,616.0
144.39,144.39,144.1,144.2,805.0
144.2,144.29,144.2,144.29,65.0
144.29,144.29,144.0,144.0,913.0
144.0,144.0,143.52,143.74,942.0
143.74,143.74,143.74,143.74,1.0
143.52,143.89,143.5,143.82,584.0
143.82,143.82,143.12,143.12,1605.0
143.12,143.44,143.12,143.44,201.0
143.12,143.84,143.12,143.79,1023.0
143.79,143.82,143.79,143.79,191.0
143.79,143.79,143.79,143.79,0.0
143.79,143.79,143.79,143.79,70.0
143.79,143.79,143.57,143.57,200.0
143.52,143.64,143.37,143.64,1132.0
143.64,143.64,143.3,143.3,300.0
143.3,143.63,143.3,143.3,578.0
143.3,143.55,143.3,143.31,308.0
143.55,143.55,143.0,143.11,1513.0
143.11,143.11,143.06,143.06,136.0
143.06,143.06,143.06,143.06,0.0
143.0,143.0,142.7,142.7,2188.0
142.7,142.7,141.32,141.92,6809.0
141.92,142.2,141.92,142.2,35.0
142.2,142.2,141.83,141.93,297.0
141.93,142.5,141.93,142.02,1144.0
142.02,142.02,142.02,142.02,111.0
142.02,142.52,140.22,141.5,9027.0
141.5,141.74,141.45,141.47,1855.0
141.47,141.47,141.47,141.47,0.0
141.47,141.75,141.47,141.75,547.0
141.75,141.98,141.62,141.62,626.0
141.62,141.78,141.56,141.78,1701.0
141.78,141.78,141.31,141.31,346.0
141.31,141.31,140.84,141.01,1054.0
141.01,141.39,141.01,141.13,1244.0
141.13,141.48,141.07,141.48,460.0
141.29,141.29,141.29,141.29,21.0
141.29,141.48,141.29,141.48,5.0
141.48,141.48,141.48,141.48,0.0
141.48,141.65,141.48,141.65,200.0
141.65,141.65,141.65,141.65,0.0
141.65,141.65,141.36,141.36,2.0
141.36,141.4,141.35,141.35,55.0
141.35,141.6,141.35,141.35,443.0
141.35,141.52,141.35,141.52,473.0
141.52,141.52,141.37,141.37,16.0
