open,high,low,close,volume
149.95,149.97,147.96,148.86,257142.0
148.9,149.13,147.63,148.81,141291.0
148.76,148.9,148.5,148.61,63209.0
148.53,149.07,148.3,149.07,92813.0
149.07,149.67,148.82,149.27,55259.0
149.27,149.4,148.66,148.93,52598.0
148.84,149.01,148.3,148.86,70487.0
148.86,149.63,148.86,149.14,56053.0
149.14,149.79,149.01,149.78,45225.0
149.78,151.02,149.14,151.02,411622.0
151.2,151.2,150.4,150.61,72477.0
150.61,151.5,149.92,151.29,181212.0
151.28,151.3,150.88,151.19,58636.0
151.11,151.6,151.01,151.41,50896.0
151.42,151.42,150.98,151.1,44943.0
151.1,151.45,150.86,151.34,107574.0
151.34,151.74,151.33,151.5,80790.0
151.5,151.95,151.35,151.71,106748.0
151.71,151.8,151.32,151.32,24680.0
151.32,151.61,151.0,151.31,98067.0
151.31,151.39,151.01,151.2,32019.0
151.2,151.56,151.2,151.48,40183.0
151.48,151.77,151.27,151.51,34296.0
151.51,151.61,151.24,151.31,14406.0
151.31,151.39,150.33,150.8,125910.0
150.8,151.04,150.71,151.04,35305.0
151.04,151.95,151.04,151.95,55715.0
151.95,152.04,151.41,151.41,172765.0
151.41,151.88,151.28,151.6,49879.0
151.6,151.65,151.32,151.49,17832.0
151.58,151.76,151.1,151.51,67438.0
151.51,151.61,151.33,151.45,12540.0
151.45,151.7,151.12,151.19,53183.0
151.19,151.53,151.16,151.36,13595.0
151.3,151.36,151.11,151.22,12363.0
151.14,151.49,151.12,151.28,22779.0
151.28,151.34,151.15,151.15,9334.0
151.16,151.25,151.02,151.05,23941.0
151.05,151.1,150.85,150.93,27472.0
150.93,150.96,150.79,150.85,7836.0
150.85,150.85,150.62,150.79,32446.0
150.8,150.88,150.72,150.75,13644.0
150.75,150.86,150.66,150.77,5755.0
150.77,150.92,150.6,150.85,12521.0
150.85,150.9,150.7,150.72,8706.0
150.72,150.8,150.64,150.8,16570.0
150.8,151.0,150.7,150.87,42825.0
150.87,151.13,150.87,150.94,29185.0
150.94,151.1,150.87,151.0,19815.0
151.0,151.09,150.7,150.74,45063.0
150.74,150.87,150.71,150.87,7189.0
150.77,150.9,150.7,150.8,8479.0
150.8,150.86,150.7,150.8,9040.0
150.8,151.23,150.66,150.79,38039.0
150.78,150.78,150.6,150.6,6019.0
150.6,150.64,150.45,150.52,26597.0
150.52,150.6,150.31,150.35,29530.0
150.35,150.54,150.1,150.11,72503.0
150.11,150.29,150.11,150.11,6933.0
