open,high,low,close,volume
1607.0,1610.0,1602.4,1606.3,9450.0
1606.3,1608.8,1603.0,1606.3,12644.0
1606.3,1607.0,1602.7,1603.2,7483.0
1603.3,1603.3,1591.6,1594.4,24821.0
1594.4,1597.1,1590.2,1596.1,15214.0
1596.1,1596.4,1591.2,1591.9,5895.0
1591.8,1599.9,1591.5,1598.6,33831.0
1598.6,1599.9,1597.4,1599.7,15940.0
1599.9,1601.4,1599.6,1600.7,3617.0
1600.7,1601.7,1598.1,1600.9,3393.0
1600.9,1602.3,1599.6,1601.1,6592.0
1601.0,1610.4,1601.0,1607.6,33540.0
1607.6,1614.6,1607.5,1613.1,22602.0
1613.3,1615.9,1609.4,1613.1,25196.0
1612.5,1615.0,1612.0,1614.5,12492.0
1614.0,1619.6,1612.0,1619.2,34570.0
1618.6,1624.5,1618.6,1623.0,48781.0
1623.0,1624.6,1622.5,1624.6,23402.0
1624.6,1634.9,1624.0,1634.0,71076.0
1634.0,1638.6,1632.6,1637.2,55652.0
1637.2,1637.2,1629.8,1632.2,19669.0
1632.2,1634.9,1625.0,1629.0,19063.0
1629.0,1630.0,1625.5,1625.8,20682.0
1625.7,1626.7,1624.4,1625.8,9953.0
1625.4,1628.0,1622.4,1627.2,27971.0
1627.2,1633.9,1626.8,1629.6,26944.0
1629.5,1630.7,1627.7,1630.7,9537.0
1630.6,1635.2,1629.6,1633.3,18054.0
1633.7,1641.4,1633.6,1640.0,40823.0
1640.0,1640.5,1633.6,1634.7,16997.0
1634.2,1635.0,1633.1,1634.0,9435.0
1634.0,1635.0,1633.1,1634.8,7998.0
1634.8,1635.0,1631.3,1633.5,7429.0
1633.5,1635.0,1633.4,1634.8,5103.0
1634.7,1636.1,1634.2,1635.2,4912.0
1634.9,1638.5,1634.2,1638.0,13247.0
1637.7,1638.4,1633.7,1636.6,8613.0
1636.0,1636.9,1631.6,1632.7,9670.0
1632.7,1634.1,1632.2,1633.1,7075.0
1633.4,1634.7,1632.9,1633.6,7007.0
1633.3,1634.3,1632.5,1633.2,8561.0
1632.8,1633.8,1631.1,1631.4,4432.0
1631.4,1631.8,1630.1,1631.1,4518.0
1631.1,1631.2,1630.1,1630.7,5002.0
1630.7,1632.6,1630.4,1632.1,8869.0
1632.1,1632.6,1630.1,1631.4,6454.0
1631.0,1632.2,1630.3,1632.2,3612.0
1632.2,1632.8,1630.7,1631.5,3717.0
1631.5,1631.5,1628.6,1629.8,5314.0
1629.8,1630.7,1628.6,1630.5,8047.0
1630.5,1631.6,1629.0,1631.6,4926.0
1631.8,1633.1,1631.1,1632.6,5750.0
1632.3,1633.3,1631.5,1632.5,5857.0
1632.5,1632.8,1630.8,1632.5,3367.0
1632.5,1632.5,1629.6,1631.9,4696.0
1631.9,1632.2,1629.3,1630.4,11047.0
1630.4,1630.9,1629.0,1630.2,6130.0
1630.2,1630.9,1628.0,1630.0,7829.0
1630.0,1631.0,1629.6,1631.0,3746.0
