open,high,low,close,volume
93.5,93.95,93.26,93.4,10935.0
93.4,93.57,93.25,93.5,9636.0
93.5,93.52,92.87,93.0,12786.0
92.98,93.12,92.9,92.99,8153.0
92.99,93.1,92.67,92.9,16479.0
92.9,92.98,92.56,92.89,18416.0
92.89,92.98,92.73,92.79,10309.0
92.8,92.97,92.8,92.9,4587.0
92.91,92.95,92.8,92.8,1762.0
92.91,92.91,92.75,92.9,4471.0
92.9,92.99,92.86,92.86,3661.0
92.86,93.0,92.86,92.9,1607.0
92.9,93.15,92.87,93.15,10518.0
93.15,93.15,92.9,92.99,2213.0
92.83,92.99,92.83,92.99,1743.0
92.99,93.02,92.82,93.02,7717.0
93.02,93.02,92.89,92.97,253.0
92.87,92.97,92.7,92.81,17043.0
92.81,92.81,92.69,92.79,2398.0
92.79,92.79,92.63,92.63,3676.0
92.63,92.63,92.52,92.63,2270.0
92.63,92.75,92.45,92.56,13761.0
92.56,92.62,92.54,92.54,5090.0
92.5,92.64,92.5,92.51,4779.0
92.51,92.68,92.51,92.68,671.0
92.68,92.68,92.37,92.56,17593.0
92.55,92.63,92.35,92.63,12483.0
92.63,92.74,92.54,92.55,7021.0
92.55,93.35,92.5,93.24,28471.0
93.34,93.55,93.1,93.33,58457.0
93.32,93.9,93.22,93.88,27798.0
93.88,93.88,93.64,93.76,4252.0
