open,high,low,close,volume
658.05,664.95,658.05,660.2,35894.0
660.2,662.2,659.5,659.55,20994.0
659.55,659.55,656.55,656.55,7262.0
656.55,656.55,651.15,651.4,13457.0
651.4,651.9,650.4,651.35,9888.0
651.6,654.1,651.05,652.45,11819.0
652.45,653.25,652.15,652.55,4842.0
652.55,654.15,652.55,653.9,6539.0
653.9,654.8,653.65,654.55,4823.0
654.55,654.75,653.7,654.35,2122.0
654.35,655.0,653.85,654.0,4722.0
654.0,654.0,653.65,653.7,642.0
653.7,654.1,653.4,654.1,7245.0
654.1,655.05,653.4,653.95,5152.0
653.95,654.15,652.5,653.85,9667.0
653.85,653.85,652.7,652.75,2090.0
652.75,653.45,652.75,653.45,7888.0
653.45,653.85,651.5,653.8,13052.0
653.8,654.45,653.35,654.2,8990.0
654.2,654.2,653.3,654.1,7108.0
654.1,654.5,653.25,654.2,31289.0
654.2,654.35,653.8,653.9,4136.0
653.9,653.9,653.15,653.45,10229.0
653.45,653.9,653.2,653.45,11845.0
653.45,654.6,652.4,653.7,52767.0
653.7,654.3,652.85,653.6,96542.0
653.6,653.8,652.55,653.5,23665.0
653.5,654.2,652.8,653.9,22885.0
654.0,655.8,653.8,655.3,50280.0
655.3,655.55,654.15,654.75,10121.0
655.0,655.0,653.35,653.5,16612.0
653.85,654.6,653.1,654.15,24620.0
654.15,654.15,648.0,648.0,40916.0
648.0,652.05,647.15,651.95,132166.0
652.0,652.3,651.5,652.0,121882.0
652.0,652.45,648.05,648.35,246524.0
648.75,648.85,646.2,648.5,32816.0
648.5,650.2,648.3,649.75,27053.0
649.75,649.95,649.3,649.95,6580.0
649.75,650.0,649.25,649.35,6548.0
649.35,651.1,649.2,649.85,641426.0
649.85,654.75,649.85,653.4,28982.0
652.95,655.65,652.65,654.75,22843.0
655.0,655.4,654.15,655.0,9017.0
655.0,655.0,654.2,654.45,12037.0
655.2,655.5,653.4,653.4,14694.0
653.4,653.65,653.0,653.65,3295.0
653.65,653.95,653.4,653.6,3975.0
653.6,653.65,653.45,653.45,1729.0
653.45,653.6,653.1,653.45,5088.0
653.45,653.95,653.4,653.7,1792.0
653.7,653.95,653.7,653.9,992.0
653.9,655.05,653.45,655.05,9589.0
655.35,655.35,654.7,655.2,2532.0
655.2,655.4,654.65,655.0,29736.0
655.0,656.7,654.9,656.3,15381.0
656.3,656.3,655.0,655.2,5652.0
655.2,655.85,654.95,655.85,4250.0
655.85,656.2,655.65,656.0,2064.0
