open,high,low,close,volume
101.7,104.41,100.8,101.05,734078.0
101.1,101.8,100.34,100.8,205770.0
100.94,101.47,100.0,100.6,120545.0
100.62,100.77,99.93,100.45,105189.0
100.15,101.58,100.14,101.43,93905.0
101.43,101.43,99.77,99.8,99303.0
99.8,100.0,98.41,99.4,169617.0
99.4,99.4,99.0,99.1,23936.0
99.1,99.5,99.0,99.34,38214.0
99.34,99.44,98.6,99.12,37904.0
99.12,99.5,98.8,98.8,52552.0
98.8,99.48,98.8,99.27,35749.0
99.27,99.42,99.05,99.07,7889.0
99.07,99.27,98.15,98.58,49305.0
98.58,98.73,98.15,98.2,36528.0
98.2,98.72,98.15,98.67,15981.0
98.67,99.0,98.46,99.0,85168.0
99.0,99.45,99.0,99.06,52675.0
99.06,99.09,98.5,98.67,23809.0
98.67,98.7,98.4,98.41,15824.0
98.41,98.84,98.41,98.51,6990.0
98.51,98.95,98.51,98.85,6524.0
98.85,98.85,98.61,98.65,7092.0
98.65,98.69,98.5,98.58,18947.0
98.71,98.9,98.64,98.86,4274.0
98.85,99.0,98.64,98.72,4402.0
98.72,99.0,98.5,98.51,12984.0
98.51,99.21,98.51,98.81,11082.0
98.81,98.81,98.64,98.77,4744.0
98.71,98.89,98.5,98.5,24999.0
98.55,98.82,98.5,98.5,23359.0
98.5,98.7,98.5,98.52,23500.0
98.52,98.72,98.52,98.55,809.0
98.55,98.55,98.15,98.31,29055.0
98.25,99.5,98.2,99.18,50245.0
99.18,102.92,99.05,102.5,190526.0
102.54,102.54,102.0,102.11,183661.0
102.11,102.9,101.72,102.32,166520.0
102.32,102.32,101.25,101.69,70008.0
101.69,102.0,101.6,101.6,27118.0
101.36,101.95,101.34,101.8,89954.0
101.91,102.0,101.36,101.76,23375.0
101.88,102.9,101.62,102.75,130097.0
102.89,103.97,102.73,102.9,162758.0
102.9,102.9,102.02,102.02,45146.0
102.02,102.04,101.6,102.03,43080.0
102.01,102.44,101.94,101.96,21979.0
102.2,103.59,101.96,102.95,99336.0
102.95,103.5,102.51,102.61,65127.0
102.59,102.91,102.4,102.72,16264.0
102.72,102.74,102.4,102.57,12802.0
102.5,102.68,102.5,102.56,7573.0
102.56,102.56,101.9,102.19,17707.0
102.05,102.62,101.85,102.2,17466.0
102.13,102.5,101.31,102.0,45690.0
102.0,102.0,101.57,101.88,15296.0
101.88,103.88,101.14,103.54,137448.0
103.54,103.54,102.35,102.4,35807.0
102.4,102.62,102.4,102.56,5729.0
