open,high,low,close,volume
882.85,894.5,873.7,890.05,2494.0
890.05,894.0,884.15,886.3,1407.0
886.3,891.0,883.45,885.25,684.0
885.0,888.7,869.25,883.9,2199.0
883.95,885.6,881.65,884.15,2192.0
881.4,885.85,881.0,881.0,1286.0
881.0,883.95,880.85,882.0,302.0
882.0,882.35,874.5,877.6,766.0
877.6,882.0,877.6,882.0,409.0
882.0,890.0,882.0,890.0,1991.0
890.0,891.0,884.05,885.45,895.0
883.75,889.0,883.75,885.55,782.0
885.55,892.95,883.4,889.45,3147.0
889.45,889.95,887.55,887.55,200.0
887.55,890.1,886.2,886.2,378.0
886.2,889.45,886.2,886.85,154.0
886.85,888.6,886.35,888.6,280.0
888.6,889.0,886.1,888.7,862.0
888.7,889.0,884.0,884.0,185.0
884.0,889.0,884.0,889.0,697.0
889.0,889.0,885.5,885.5,123.0
885.5,889.0,883.55,889.0,940.0
889.0,889.0,886.3,887.0,21.0
887.0,888.95,884.0,885.45,1105.0
885.45,885.45,877.2,879.45,1295.0
878.0,879.55,873.0,878.0,941.0
878.0,878.0,873.0,874.35,2112.0
872.0,873.95,862.0,866.0,4256.0
866.0,871.6,866.0,868.7,910.0
868.7,869.45,865.5,868.0,878.0
868.0,868.0,862.55,863.65,755.0
863.5,868.0,863.5,866.0,418.0
865.0,868.0,858.6,860.05,2395.0
860.05,863.45,838.8,858.15,9142.0
858.15,859.65,851.0,856.05,1385.0
856.05,856.85,851.65,856.85,5699.0
856.85,858.4,856.8,858.4,1530.0
858.4,858.55,855.55,856.8,1325.0
856.85,866.95,855.45,863.6,4015.0
863.6,865.8,859.0,864.0,462.0
864.0,867.25,862.65,863.1,502.0
863.1,865.6,863.1,865.6,53.0
865.6,865.6,861.85,861.85,187.0
862.75,862.75,861.0,861.0,110.0
861.0,861.0,861.0,861.0,0.0
861.0,861.0,858.0,859.0,256.0
859.0,859.95,858.0,859.45,937.0
859.45,860.0,859.45,860.0,168.0
856.0,859.1,853.15,857.05,745.0
856.5,858.65,856.5,858.65,209.0
860.0,860.0,857.1,857.35,464.0
857.35,857.35,855.0,855.0,500.0
855.0,857.9,855.0,855.5,77.0
855.15,860.0,855.0,857.9,526.0
857.9,859.9,855.4,859.9,281.0
859.9,859.95,856.15,856.15,172.0
856.15,856.15,852.6,854.2,319.0
854.2,856.45,854.2,856.45,150.0
856.45,856.65,854.6,856.65,52.0
