open,high,low,close,volume
1642.3,1644.6,1626.1,1636.0,7494.0
1636.0,1641.8,1634.6,1639.8,2618.0
1639.8,1641.0,1632.6,1637.0,3633.0
1636.9,1639.3,1635.0,1637.4,1881.0
1637.4,1639.9,1636.0,1637.1,1808.0
1637.3,1640.3,1635.8,1640.3,2036.0
1640.3,1640.9,1636.7,1640.8,361.0
1640.8,1640.8,1637.0,1637.0,1453.0
1636.9,1638.3,1635.4,1636.7,771.0
1636.7,1638.0,1635.1,1638.0,787.0
1638.0,1640.8,1636.4,1640.0,639.0
1640.0,1640.8,1639.6,1640.0,346.0
1640.0,1643.5,1639.0,1640.4,2209.0
1641.5,1642.5,1635.9,1637.8,1153.0
1637.8,1639.1,1636.1,1636.2,779.0
1636.2,1636.9,1634.2,1635.0,1008.0
1635.0,1640.0,1634.2,1640.0,5638.0
1640.0,1641.9,1637.8,1641.7,912.0
1641.7,1641.7,1638.1,1640.4,2218.0
1640.4,1640.4,1638.0,1639.9,92.0
1639.9,1640.0,1638.4,1640.0,380.0
1640.0,1640.0,1639.0,1639.9,242.0
1639.9,1640.0,1637.6,1637.9,1952.0
1637.9,1639.7,1632.2,1633.9,2110.0
1633.9,1635.9,1632.6,1635.8,371.0
1635.8,1636.0,1634.2,1635.9,176.0
1635.9,1636.0,1634.2,1635.0,304.0
1635.0,1635.8,1632.1,1634.4,931.0
1634.4,1634.5,1632.0,1633.6,658.0
1633.6,1633.6,1630.2,1632.6,1724.0
1632.6,1632.6,1630.4,1632.4,303.0
1632.4,1633.4,1631.3,1633.0,606.0
1633.0,1634.0,1632.5,1634.0,698.0
1634.0,1634.0,1627.3,1627.9,1011.0
1627.9,1628.1,1624.7,1625.0,2097.0
1625.0,1625.4,1621.7,1621.7,843.0
1621.7,1626.4,1621.0,1624.9,895.0
1624.9,1626.0,1622.4,1625.9,663.0
1625.9,1626.9,1624.8,1626.6,309.0
1626.6,1626.7,1625.7,1626.7,260.0
1626.7,1628.0,1625.2,1628.0,616.0
1628.0,1628.0,1627.1,1627.9,83.0
1627.9,1627.9,1626.2,1627.9,95.0
1627.9,1628.0,1627.0,1627.7,347.0
1627.7,1628.0,1625.1,1627.9,287.0
1627.9,1628.0,1625.8,1626.3,348.0
1626.3,1629.3,1625.9,1628.1,226.0
1628.1,1629.6,1625.4,1625.4,418.0
1625.4,1627.9,1625.4,1627.9,179.0
1627.9,1629.9,1627.9,1629.4,89.0
1629.4,1629.7,1626.0,1626.2,660.0
1626.2,1628.1,1625.1,1626.7,163.0
1626.7,1628.2,1622.0,1624.5,2257.0
1624.5,1626.8,1623.6,1624.5,1064.0
1624.5,1625.3,1623.0,1623.7,320.0
1623.7,1625.9,1623.7,1625.9,263.0
1625.9,1625.9,1620.8,1622.3,2775.0
1622.3,1623.0,1620.4,1622.9,576.0
1622.9,1623.2,1618.1,1618.9,2374.0
1616.2,1617.9,1616.2,1617.9,402.0
