open,high,low,close,volume
2016.9,2018.8,2004.6,2018.5,34711.0
2017.3,2018.3,2008.6,2012.6,16599.0
2012.6,2017.1,2012.0,2017.1,21092.0
2018.0,2018.6,2012.4,2012.6,16674.0
2012.6,2014.9,2005.0,2006.8,18231.0
2006.8,2011.2,2005.6,2007.3,12507.0
2007.3,2007.8,2005.1,2005.6,8683.0
2005.6,2007.8,2004.6,2006.9,6504.0
2006.9,2007.0,1999.2,2001.2,8628.0
1999.9,2002.2,1997.2,2001.1,17888.0
2001.1,2001.1,1996.2,1998.0,13615.0
1998.0,2014.8,1997.8,2014.0,44440.0
2014.0,2015.0,2009.0,2009.0,17726.0
2009.0,2017.6,2007.4,2015.9,18988.0
2015.9,2017.7,2013.5,2015.8,14288.0
2016.7,2016.7,2012.2,2013.9,7507.0
2013.9,2015.9,2013.6,2014.1,4461.0
2014.1,2015.3,2013.2,2014.0,9204.0
2014.0,2014.5,2007.3,2007.9,9364.0
2007.9,2012.4,2007.7,2010.1,5613.0
2010.4,2014.8,2010.0,2011.5,11835.0
2011.5,2012.8,2007.8,2008.3,7240.0
2008.3,2010.0,2006.4,2008.7,4499.0
2008.7,2009.7,2006.0,2007.7,7929.0
2007.7,2008.2,2005.0,2006.0,3010.0
2005.0,2006.2,2002.6,2005.1,5080.0
2005.1,2006.1,2002.6,2004.6,7920.0
2004.6,2006.3,2002.6,2003.3,7687.0
2003.3,2006.6,2002.9,2005.4,4959.0
2005.4,2008.9,2004.3,2007.9,2510.0
2008.3,2009.3,2007.2,2008.1,3403.0
2008.1,2009.4,2007.5,2007.5,3776.0
2007.5,2007.5,2003.4,2004.2,6206.0
2004.2,2006.8,2003.8,2004.5,8592.0
2005.0,2006.2,2003.6,2005.0,3862.0
2005.0,2005.8,2003.3,2004.0,3374.0
2004.0,2006.3,2003.0,2006.2,2462.0
2006.2,2006.2,2004.6,2005.4,3247.0
2005.4,2006.9,2003.8,2004.0,3601.0
2004.0,2006.3,2003.1,2005.3,3315.0
2005.3,2005.5,2004.4,2004.5,2014.0
2004.5,2004.9,2000.8,2001.5,4410.0
2001.5,2002.4,2000.0,2002.3,3031.0
2002.3,2003.7,2000.0,2001.6,4865.0
2001.6,2002.6,1999.2,2002.6,4326.0
2002.7,2003.5,2002.0,2002.3,3629.0
2002.3,2004.2,2000.0,2004.2,8554.0
2002.9,2005.1,2002.3,2004.6,4306.0
2004.6,2005.7,2002.9,2003.1,3173.0
2003.1,2003.7,2001.4,2002.3,4125.0
2002.3,2004.8,2000.2,2004.0,4960.0
2004.0,2004.9,2002.5,2003.7,2417.0
2003.7,2004.8,2002.2,2002.7,7487.0
2002.6,2004.8,2000.2,2001.6,6185.0
2001.6,2003.0,2001.1,2001.8,4075.0
2001.0,2002.3,1999.7,2001.5,3542.0
2001.5,2003.1,2001.0,2002.9,4352.0
2002.9,2003.0,2001.0,2001.0,2652.0
2001.0,2002.6,1998.8,2000.6,12726.0
2000.6,2000.6,1999.5,2000.5,460.0
