open,high,low,close,volume
638.0,639.05,632.25,635.25,3640.0
635.25,635.25,632.25,632.45,5367.0
632.45,633.2,630.35,631.0,2901.0
631.0,631.0,628.55,629.15,4903.0
629.15,630.4,629.15,629.25,1390.0
629.25,629.7,627.0,627.0,6264.0
627.0,628.2,626.6,627.15,2717.0
627.15,629.2,627.15,628.0,1620.0
628.0,629.85,627.05,629.6,1280.0
629.6,630.6,629.45,629.8,474.0
629.8,630.05,628.5,629.65,1964.0
629.65,630.4,629.6,629.9,352.0
629.9,631.3,629.75,631.15,1324.0
631.15,631.55,630.8,631.2,477.0
631.2,632.0,631.2,631.25,566.0
631.25,632.0,630.7,632.0,837.0
632.0,632.05,631.2,631.35,1802.0
631.2,631.25,630.0,630.8,1490.0
630.8,632.45,630.5,631.0,2434.0
631.0,631.0,630.25,630.85,449.0
630.85,630.85,629.0,629.5,467.0
629.5,629.85,629.0,629.4,779.0
629.4,629.4,627.5,627.5,2022.0
628.3,628.3,627.55,628.0,1643.0
628.0,629.85,627.8,629.8,1593.0
629.8,629.85,629.1,629.85,617.0
629.85,629.85,627.75,628.55,205.0
628.55,629.1,628.15,629.1,461.0
628.6,629.45,627.85,628.6,1012.0
628.6,629.4,627.9,629.4,422.0
629.2,629.65,628.25,629.1,527.0
629.1,629.6,628.95,628.95,244.0
628.95,629.05,628.15,629.05,372.0
629.05,629.15,627.65,628.05,1006.0
628.05,628.3,627.1,627.65,820.0
627.65,627.7,627.0,627.45,604.0
627.45,634.85,627.0,633.0,23799.0
633.0,633.7,632.15,633.15,812.0
632.85,632.85,631.7,632.5,910.0
632.5,632.85,631.25,631.95,653.0
631.95,631.95,631.3,631.65,198.0
631.65,631.7,630.65,631.55,950.0
631.55,631.55,631.05,631.5,175.0
631.5,631.55,630.4,631.1,266.0
631.1,631.2,630.65,631.15,205.0
631.15,631.15,630.05,630.8,393.0
630.8,630.8,630.05,630.7,305.0
630.7,630.7,630.7,630.7,61.0
630.7,631.7,630.1,631.7,1487.0
631.7,631.7,630.0,630.95,1195.0
630.95,631.3,629.95,630.55,1528.0
630.55,630.55,630.05,630.4,327.0
630.4,630.4,630.4,630.4,22.0
630.4,631.55,630.2,630.5,1883.0
631.05,631.3,630.3,631.15,926.0
631.1,631.1,630.5,630.5,189.0
630.5,630.85,630.0,630.35,272.0
630.35,630.35,629.6,629.85,905.0
629.85,630.0,629.85,630.0,301.0
