open,high,low,close,volume
317.0,318.2,316.0,316.7,118246.0
316.7,317.3,316.4,317.25,31756.0
317.4,318.45,317.15,318.15,57688.0
318.15,318.5,317.55,317.55,58420.0
317.55,317.6,317.2,317.55,28385.0
317.55,317.7,316.75,316.9,34568.0
316.8,317.0,316.5,316.9,35007.0
316.9,316.9,316.05,316.2,84805.0
316.2,316.2,315.1,315.25,137665.0
315.25,315.25,313.85,314.4,148446.0
314.45,314.5,314.15,314.2,56925.0
314.2,314.45,314.1,314.2,40869.0
314.2,314.25,313.85,314.1,102179.0
314.1,314.55,314.0,314.4,61029.0
314.4,314.45,314.1,314.15,38861.0
314.15,314.3,314.0,314.2,37237.0
314.2,314.3,314.0,314.1,39625.0
314.1,314.2,313.65,313.75,65291.0
313.75,314.3,313.35,313.35,69118.0
313.35,313.65,313.25,313.45,51662.0
313.45,313.5,312.5,312.75,100650.0
312.75,312.75,312.1,312.15,65973.0
312.25,312.75,312.1,312.6,72252.0
312.65,312.95,312.5,312.6,64118.0
312.6,312.75,312.25,312.35,65561.0
312.35,312.8,312.2,312.2,64198.0
312.2,312.45,312.0,312.15,67580.0
312.05,312.4,311.85,312.05,125332.0
312.05,312.3,311.9,312.0,93542.0
312.0,312.05,311.7,311.9,62991.0
311.9,312.1,311.7,311.8,80346.0
311.8,312.0,311.55,311.65,62637.0
311.65,311.85,311.5,311.85,65914.0
311.85,312.0,311.65,311.9,39757.0
311.9,312.1,311.65,311.75,62001.0
311.75,311.85,311.6,311.6,42793.0
311.6,311.75,311.5,311.7,41749.0
311.7,311.75,311.55,311.7,39991.0
311.7,312.0,311.55,312.0,66166.0
311.9,312.0,311.65,311.85,66674.0
311.9,312.1,311.7,312.1,92044.0
312.05,313.4,312.0,313.05,179872.0
313.05,314.25,312.9,314.0,304945.0
314.0,314.55,313.8,314.1,276834.0
314.1,314.1,312.8,312.95,69263.0
312.95,312.95,312.55,312.6,63191.0
312.6,313.85,312.45,313.8,114488.0
313.8,314.25,313.8,314.0,52246.0
314.05,314.25,314.0,314.15,50061.0
314.15,314.2,314.0,314.05,34066.0
314.05,314.05,313.25,313.45,74003.0
313.45,314.3,313.4,314.05,79519.0
314.05,314.15,313.85,314.05,144954.0
314.05,314.05,313.4,313.8,42952.0
313.8,313.9,313.45,313.6,38020.0
313.6,314.55,313.55,314.25,177031.0
314.25,314.9,313.65,314.45,210300.0
314.45,314.45,313.7,313.7,52243.0
313.7,314.0,313.55,313.6,39046.0
