open,high,low,close,volume
320.9,321.9,319.4,320.7,35902.0
320.7,321.35,320.15,321.05,25989.0
321.4,321.4,319.15,319.45,24500.0
319.45,321.3,319.45,321.0,34995.0
321.0,321.1,319.9,320.25,10027.0
320.25,320.85,320.1,320.15,8397.0
320.15,320.3,317.9,318.45,24873.0
318.45,319.0,318.3,318.8,12549.0
318.8,318.8,318.05,318.15,10103.0
318.15,318.4,317.55,318.1,6087.0
318.05,318.3,317.75,318.0,5815.0
318.0,318.6,318.0,318.1,3054.0
318.1,318.1,317.8,318.0,5510.0
318.0,318.65,318.0,318.25,7862.0
318.25,318.5,318.0,318.0,2791.0
318.0,318.8,318.0,318.8,8703.0
318.8,318.9,318.6,318.75,2081.0
318.75,319.05,317.8,318.25,21253.0
318.25,318.25,317.1,317.55,8721.0
317.55,317.65,317.4,317.5,2325.0
317.5,317.6,316.15,316.3,26191.0
316.4,316.6,315.5,315.8,17708.0
315.8,316.5,315.25,316.3,14792.0
316.3,316.35,315.9,315.9,6718.0
315.9,315.9,313.6,313.65,39771.0
313.65,314.2,313.6,314.05,18429.0
314.05,314.2,313.5,313.85,18228.0
313.85,313.95,313.6,313.65,5560.0
313.65,313.95,313.65,313.85,5330.0
313.85,314.0,313.4,313.85,14210.0
313.85,314.0,313.7,314.0,12510.0
314.0,314.0,313.5,313.55,7638.0
313.55,313.95,313.5,313.65,6724.0
313.65,313.65,313.15,313.25,10346.0
313.25,313.55,313.25,313.55,3945.0
313.55,313.85,313.05,313.55,9243.0
313.55,313.6,313.35,313.55,8541.0
313.55,313.6,313.4,313.5,8527.0
313.5,313.6,313.35,313.5,4832.0
313.5,313.5,313.3,313.5,9368.0
313.5,313.65,313.4,313.5,40567.0
313.5,313.5,313.45,313.5,9655.0
313.5,313.6,313.45,313.5,7738.0
313.5,313.55,313.45,313.45,10726.0
313.45,313.45,312.55,312.8,19775.0
312.8,312.8,312.55,312.55,4531.0
312.8,312.8,312.55,312.65,2692.0
312.65,313.0,312.65,312.95,9455.0
312.85,313.0,312.85,312.95,4571.0
312.95,314.8,312.85,314.65,14169.0
314.65,314.75,314.0,314.4,6261.0
314.4,314.6,314.1,314.6,13797.0
314.6,314.6,314.3,314.3,5936.0
314.3,314.3,313.75,314.0,5740.0
314.0,314.3,313.8,314.0,7737.0
314.0,314.25,314.0,314.1,2303.0
314.1,314.1,313.65,313.85,4566.0
313.85,314.4,313.65,314.1,9215.0
314.1,314.35,314.05,314.35,1451.0
