open,high,low,close,volume
2008.0,2008.0,1994.0,1999.7,5988.0
1999.7,2005.5,1995.1,1996.3,4696.0
1996.3,1999.6,1996.1,1997.1,7379.0
1997.1,2000.3,1995.3,1998.9,2668.0
1998.9,2005.3,1997.9,2004.2,19729.0
2004.2,2005.9,2002.8,2005.1,1714.0
2005.1,2005.8,2001.2,2002.4,1832.0
2002.4,2005.5,2001.7,2004.7,1549.0
2004.0,2004.5,2002.6,2003.2,1706.0
2002.5,2003.6,2001.7,2002.8,1336.0
2002.8,2004.0,2001.1,2002.8,1015.0
2002.8,2003.1,1999.3,2000.1,2800.0
2000.1,2002.8,1999.5,2002.2,1492.0
2002.2,2002.2,1998.0,1999.8,3186.0
1999.8,2000.8,1998.6,2000.0,751.0
2000.0,2003.7,1999.0,2003.3,1344.0
2003.3,2004.4,2001.5,2001.9,1219.0
2001.9,2004.7,2001.0,2003.0,705.0
2003.0,2004.9,2002.6,2003.5,1328.0
2003.5,2003.6,2000.9,2001.6,1894.0
2001.6,2002.5,2000.3,2000.7,1246.0
2000.7,2001.3,1998.7,1998.7,1980.0
1999.0,2002.0,1998.5,2001.2,3633.0
2001.2,2002.6,2000.2,2000.6,1864.0
2000.6,2002.9,2000.6,2001.1,682.0
2001.1,2002.8,2000.9,2000.9,1544.0
2000.5,2002.0,1999.8,2000.3,5023.0
2000.3,2002.8,2000.3,2002.0,1813.0
2002.0,2002.9,2001.6,2001.8,910.0
2001.8,2002.6,2001.3,2001.3,2351.0
2001.3,2002.6,2001.3,2001.4,1426.0
2001.4,2002.1,2001.0,2001.2,1397.0
2001.2,2001.6,2001.1,2001.1,781.0
2001.1,2001.4,2000.1,2001.4,926.0
2001.4,2001.4,2000.0,2000.2,1599.0
2000.2,2001.9,2000.2,2001.0,861.0
2001.0,2002.9,2000.8,2001.9,662.0
2001.9,2002.8,2001.7,2002.7,785.0
2002.7,2002.7,2001.8,2002.0,1102.0
2002.0,2003.0,2001.4,2001.9,2831.0
2002.7,2005.5,2001.9,2003.7,9908.0
2003.4,2005.0,2001.0,2002.4,3965.0
2002.4,2002.9,2000.0,2002.5,3568.0
2001.8,2002.6,2000.9,2001.5,764.0
2001.4,2001.7,2000.0,2000.7,917.0
2000.7,2001.7,2000.4,2000.6,734.0
2000.6,2002.2,2000.6,2001.0,687.0
2001.0,2002.0,2000.9,2000.9,792.0
2000.9,2001.5,2000.9,2000.9,1617.0
2000.9,2001.4,2000.3,2000.5,706.0
2000.5,2001.4,2000.5,2001.4,712.0
2000.9,2001.3,2000.5,2000.6,504.0
2000.6,2002.4,2000.6,2001.6,4089.0
2001.6,2002.9,2000.4,2001.0,2025.0
2001.0,2001.5,2000.5,2001.0,1099.0
2001.0,2002.7,2001.0,2001.0,633.0
2001.0,2002.5,2001.0,2001.8,1368.0
2001.8,2002.9,2001.4,2001.7,2184.0
2001.7,2002.8,2001.6,2002.4,551.0
2002.4,2002.4,2001.2,2001.2,38.0
