open,high,low,close,volume
280.65,280.65,274.05,275.25,210498.0
275.25,277.0,275.15,276.9,49716.0
276.9,276.9,276.1,276.25,37775.0
276.15,276.5,275.85,275.9,17517.0
275.9,276.0,275.5,275.5,31023.0
275.5,276.2,275.5,275.8,13601.0
275.8,275.9,275.25,275.55,17308.0
275.55,276.5,275.4,276.05,14795.0
276.05,276.2,275.7,275.8,6381.0
275.8,276.0,275.4,275.4,9200.0
275.4,275.75,275.2,275.35,11995.0
275.35,275.7,275.25,275.35,5496.0
275.35,275.5,275.0,275.45,24708.0
275.5,275.85,275.3,275.3,8772.0
275.45,275.6,275.1,275.5,6767.0
275.5,275.75,275.4,275.45,4135.0
275.45,275.65,275.4,275.65,3661.0
275.65,275.7,273.55,274.35,92279.0
274.35,274.35,273.6,273.75,21665.0
273.75,274.3,273.75,274.15,10400.0
274.25,274.3,272.75,272.85,41733.0
272.85,273.0,272.5,272.6,24128.0
272.6,275.2,272.5,274.5,57345.0
274.5,274.85,274.3,274.55,20034.0
274.55,274.9,274.55,274.6,8636.0
274.6,274.8,274.45,274.45,5077.0
274.45,274.8,274.25,274.55,11905.0
274.55,274.7,274.2,274.45,7365.0
274.65,275.1,274.45,274.7,46729.0
274.7,275.25,274.55,275.0,14413.0
275.0,275.35,274.85,275.1,9112.0
275.1,275.25,274.7,274.7,5047.0
274.7,274.95,274.55,274.65,9801.0
274.65,274.8,274.45,274.8,8317.0
274.8,274.8,274.4,274.45,6713.0
274.45,274.8,274.45,274.6,11573.0
274.6,275.2,274.55,275.05,10629.0
275.05,275.05,274.75,275.05,4718.0
275.05,275.05,274.5,274.55,5243.0
274.55,274.8,274.5,274.7,5802.0
274.7,274.8,274.4,274.7,8086.0
274.5,275.0,274.3,274.5,6403.0
274.5,274.9,274.3,274.75,9282.0
274.75,274.9,274.35,274.6,10169.0
274.6,274.95,274.5,274.55,7461.0
274.55,274.9,274.25,274.35,9327.0
274.35,274.8,274.25,274.35,6548.0
274.35,274.6,274.2,274.3,6792.0
274.3,274.8,274.25,274.45,9331.0
274.45,274.75,274.25,274.35,7152.0
274.35,274.55,274.0,274.05,10533.0
274.05,274.3,273.75,273.85,11016.0
273.85,274.4,272.25,274.15,165469.0
274.15,274.45,273.75,273.9,25811.0
273.9,274.15,273.7,273.8,6589.0
273.8,273.95,273.5,273.5,5702.0
273.5,273.75,273.15,273.3,6214.0
273.3,273.5,273.1,273.15,6011.0
273.15,273.45,273.05,273.15,4935.0
