open,high,low,close,volume
105.11,106.29,103.85,103.96,536390.0
104.0,104.38,103.93,104.06,261738.0
104.06,104.2,104.0,104.07,189882.0
104.07,104.17,103.79,103.9,189719.0
103.95,104.0,103.5,103.58,232741.0
103.58,103.66,103.5,103.56,310157.0
103.56,103.58,103.38,103.54,253944.0
103.54,103.7,103.43,103.55,208901.0
103.55,103.62,103.35,103.42,245140.0
103.42,103.51,103.33,103.45,248305.0
103.45,103.62,103.35,103.52,336245.0
103.52,103.62,103.45,103.49,254482.0
103.53,103.58,103.4,103.53,176382.0
103.53,103.68,103.53,103.61,232868.0
103.61,103.69,103.54,103.68,197579.0
103.67,103.91,103.59,103.78,271772.0
103.78,103.86,103.67,103.73,171152.0
103.75,103.75,103.6,103.62,119613.0
103.62,103.64,103.38,103.45,190444.0
103.45,103.45,103.05,103.09,415526.0
103.09,103.21,102.84,103.0,309515.0
103.03,103.05,102.76,102.78,72732.0
102.78,102.88,102.27,102.42,182132.0
102.43,102.45,102.19,102.27,201704.0
102.25,102.95,102.15,102.7,429999.0
102.7,102.94,102.56,102.89,270020.0
102.88,103.25,102.88,103.17,297523.0
103.16,103.27,102.94,103.04,327028.0
103.03,103.07,102.73,102.76,215676.0
102.76,103.04,102.66,102.99,186956.0
102.99,103.06,102.93,102.98,137195.0
102.98,103.09,102.88,102.88,157440.0
102.88,103.17,102.87,103.01,227312.0
103.07,103.16,102.99,102.99,186018.0
102.99,103.16,102.98,103.1,170310.0
103.09,103.2,103.01,103.06,161213.0
103.06,103.19,103.02,103.13,178097.0
103.13,103.24,102.99,103.1,189655.0
103.07,103.1,102.95,103.06,153651.0
103.06,103.18,103.01,103.15,177851.0
103.15,103.24,103.07,103.2,204232.0
103.2,103.22,102.96,102.96,181316.0
102.96,103.13,102.94,103.05,148600.0
103.01,103.07,102.92,102.96,124236.0
102.99,103.03,102.92,102.98,149467.0
102.98,103.18,102.95,103.08,276829.0
103.14,103.14,102.98,103.07,131481.0
103.07,103.13,103.03,103.08,127007.0
103.07,103.28,103.07,103.18,611325.0
103.18,103.2,103.12,103.19,132277.0
103.19,103.42,103.1,103.24,465650.0
103.23,103.47,103.18,103.43,175758.0
103.43,103.78,103.4,103.7,422228.0
103.7,103.74,103.56,103.58,214541.0
103.58,103.67,103.45,103.46,157697.0
103.46,103.54,103.4,103.4,150173.0
103.4,103.55,103.33,103.39,196837.0
103.39,103.45,103.26,103.36,122316.0
103.36,103.36,103.16,103.26,154510.0
