open,high,low,close,volume
323.05,324.0,322.0,322.5,2455.0
322.5,323.2,321.9,322.3,5058.0
322.3,323.7,322.2,323.1,2830.0
323.1,324.0,323.05,323.1,743.0
323.1,323.1,322.45,322.5,90.0
322.5,323.95,322.5,322.55,6547.0
322.55,323.95,321.6,322.5,3420.0
322.5,323.1,322.45,322.65,261.0
322.65,323.1,321.55,321.55,1963.0
321.55,321.85,321.5,321.7,548.0
321.7,321.7,321.0,321.6,1287.0
321.8,321.8,321.25,321.4,1357.0
321.4,321.75,321.4,321.5,64.0
321.5,321.8,321.35,321.75,95.0
321.75,321.85,321.45,321.45,66.0
321.85,322.2,321.85,322.2,382.0
322.2,323.05,322.15,322.15,530.0
322.15,322.15,322.15,322.15,1.0
322.15,322.15,321.4,321.45,1884.0
321.45,322.25,321.45,321.8,508.0
321.8,321.8,321.4,321.4,212.0
321.4,321.4,321.0,321.0,1361.0
321.0,321.0,320.75,320.9,19.0
320.9,321.05,320.55,321.0,40.0
321.0,321.7,321.0,321.25,616.0
321.25,321.25,321.1,321.2,143.0
321.2,321.2,321.2,321.2,150.0
321.2,321.65,321.2,321.65,20.0
321.65,321.9,321.4,321.4,164.0
321.4,321.8,321.4,321.45,63.0
321.45,321.9,321.4,321.4,80.0
321.4,321.6,321.4,321.6,530.0
321.6,321.6,321.4,321.4,352.0
321.4,321.65,321.4,321.4,23.0
321.4,321.4,321.4,321.4,190.0
321.4,321.4,321.2,321.2,63.0
321.2,321.65,321.2,321.4,52.0
321.4,321.9,321.4,321.9,150.0
