open,high,low,close,volume
685.7,699.2,685.0,693.15,20911.0
693.15,694.0,691.75,691.75,4728.0
692.4,693.2,690.1,690.5,12817.0
690.5,690.6,689.2,689.3,2279.0
689.3,690.85,689.05,690.7,2035.0
690.7,691.0,689.8,690.3,4020.0
690.3,691.5,690.3,691.0,5169.0
691.0,691.6,690.0,691.1,6231.0
691.1,692.8,689.05,690.25,7844.0
690.25,690.25,688.9,689.55,1134.0
689.55,689.55,688.1,688.6,2217.0
688.6,689.6,688.35,689.25,1822.0
689.25,689.55,688.35,689.4,1542.0
689.4,690.0,688.1,688.2,2118.0
688.2,688.65,687.6,687.65,1977.0
687.95,688.95,687.65,688.7,1181.0
688.9,689.9,688.25,689.6,2820.0
689.6,689.85,688.8,688.8,998.0
688.8,689.7,688.8,688.8,501.0
688.8,688.85,688.15,688.8,1721.0
688.8,689.5,688.55,688.65,951.0
688.65,689.45,687.0,689.0,22957.0
689.0,689.0,688.1,688.1,418.0
688.1,688.5,686.55,687.5,4979.0
687.5,687.5,686.6,687.0,654.0
687.0,687.15,686.5,686.7,745.0
686.7,686.95,686.15,686.5,1121.0
686.5,686.75,685.3,685.65,3664.0
685.65,686.55,685.65,686.1,2962.0
686.1,687.2,685.2,687.1,5103.0
687.1,688.35,686.4,687.5,3537.0
687.5,687.8,687.0,687.0,897.0
687.0,687.0,686.4,686.85,1986.0
686.85,686.95,686.4,686.95,398.0
686.7,687.3,686.35,686.6,1191.0
686.6,686.85,686.4,686.55,176.0
686.55,689.0,686.55,688.45,1577.0
688.45,690.1,687.85,689.25,3028.0
689.25,689.3,688.65,688.65,318.0
688.65,689.25,688.55,688.95,684.0
688.95,689.7,688.95,689.35,826.0
689.3,689.8,689.3,689.35,1142.0
689.35,689.7,689.0,689.4,2083.0
689.4,689.7,689.0,689.3,359.0
689.25,689.7,689.0,689.1,681.0
689.05,689.65,689.0,689.05,528.0
689.05,689.5,689.0,689.0,1638.0
689.0,689.2,687.0,687.2,3620.0
687.0,687.5,686.7,686.7,1328.0
686.85,687.35,686.15,687.0,4881.0
687.0,687.75,687.0,687.45,1118.0
687.3,688.45,687.3,687.85,4737.0
687.85,688.7,687.55,688.4,1746.0
688.4,688.4,688.0,688.1,486.0
688.1,688.1,687.65,688.0,796.0
688.0,688.4,687.25,688.0,1013.0
688.0,688.2,687.6,688.0,473.0
688.0,688.5,687.25,687.6,753.0
687.6,689.2,686.75,688.35,6102.0
