open,high,low,close,volume
392.0,393.0,390.2,391.35,444116.0
391.35,391.95,391.05,391.8,197445.0
391.8,392.5,391.3,392.15,155815.0
392.15,392.15,391.3,391.45,154508.0
391.45,391.9,391.1,391.8,67626.0
391.8,391.95,391.4,391.5,73654.0
391.5,391.8,391.3,391.7,67233.0
391.7,391.95,391.1,391.9,103148.0
391.9,391.9,391.1,391.45,126648.0
391.45,391.6,391.05,391.4,154175.0
391.4,391.4,390.8,391.0,264244.0
391.0,391.0,390.3,390.5,126643.0
390.5,390.6,390.2,390.2,95878.0
390.2,390.5,390.15,390.3,69759.0
390.1,390.25,389.5,389.5,374326.0
389.55,390.0,389.5,389.95,74991.0
389.95,390.0,389.1,389.5,203289.0
389.6,389.8,389.0,389.15,127905.0
389.15,389.15,388.65,388.85,221611.0
389.0,389.25,388.5,389.1,167808.0
389.1,389.1,388.2,388.5,178176.0
388.55,388.55,388.0,388.0,151510.0
388.05,388.25,387.5,388.2,315037.0
388.25,388.6,387.8,388.1,102790.0
388.1,388.35,387.2,387.85,124781.0
387.85,387.95,387.5,387.65,81414.0
387.65,388.2,387.6,388.0,100845.0
388.0,388.35,387.55,388.0,133982.0
387.95,388.05,387.45,387.65,133834.0
387.65,387.65,385.8,386.9,606743.0
386.9,387.0,386.3,386.45,127947.0
386.5,386.7,386.35,386.6,81300.0
386.6,386.8,386.2,386.7,68028.0
386.7,387.0,386.4,386.65,160335.0
386.65,386.95,386.55,386.65,57504.0
386.65,386.8,386.2,386.55,96795.0
386.55,386.75,386.35,386.55,63060.0
386.55,386.85,386.55,386.7,32550.0
386.7,387.0,386.65,387.0,49281.0
387.0,387.25,386.75,387.15,61397.0
387.15,387.25,386.9,387.15,72348.0
387.15,387.85,387.0,387.4,83386.0
387.3,387.7,387.25,387.6,37897.0
387.6,387.75,387.0,387.2,210614.0
387.45,387.6,387.05,387.4,124949.0
387.4,387.8,387.25,387.45,72176.0
387.45,387.8,387.3,387.8,53274.0
387.8,387.9,387.6,387.9,89744.0
387.9,388.4,387.7,388.25,197233.0
388.3,388.45,388.0,388.0,92497.0
388.0,388.3,387.0,387.3,148376.0
387.3,387.65,387.2,387.55,36396.0
387.55,387.75,387.15,387.75,48854.0
387.7,387.95,387.55,387.7,38114.0
387.7,387.7,387.5,387.65,26708.0
387.65,387.95,387.65,387.8,29553.0
387.8,388.0,387.65,387.85,78944.0
387.85,387.95,387.3,387.45,47896.0
387.45,387.8,387.3,387.45,42226.0
