open,high,low,close,volume
760.0,762.25,756.1,760.7,115269.0
760.7,762.0,760.0,761.7,52599.0
761.7,762.75,760.1,762.0,52734.0
761.95,761.95,757.4,760.0,91967.0
760.0,760.9,760.0,760.3,17681.0
760.65,760.95,760.2,760.5,24544.0
760.25,760.5,758.5,759.3,29745.0
759.3,761.2,758.95,760.55,25488.0
760.55,760.9,759.05,760.1,29863.0
760.05,760.9,760.0,760.15,11294.0
760.15,761.2,759.45,760.65,57046.0
760.65,761.85,760.6,760.8,8152.0
761.0,764.55,761.0,764.05,61090.0
764.05,764.95,761.3,761.65,101992.0
761.05,764.95,761.05,763.3,92116.0
763.3,763.5,760.3,761.8,36184.0
761.8,761.8,760.25,760.9,13861.0
760.95,761.8,760.35,760.8,21910.0
760.8,761.45,760.2,760.55,17393.0
760.55,761.7,760.55,761.3,8727.0
761.3,761.5,760.2,760.4,9912.0
760.4,762.7,760.1,762.1,37235.0
762.1,762.9,761.35,761.5,16195.0
761.5,761.9,761.05,761.15,6833.0
761.15,762.9,761.15,762.55,21800.0
762.55,763.15,761.85,761.85,20912.0
761.85,761.85,760.4,760.75,10278.0
760.75,761.0,760.15,760.9,19718.0
760.9,760.95,760.25,760.95,23186.0
760.95,762.3,760.4,761.75,15617.0
761.75,761.95,761.15,761.45,8237.0
761.45,761.85,761.05,761.45,4282.0
761.5,761.6,761.0,761.2,3865.0
761.2,761.35,761.0,761.2,2869.0
761.2,761.2,760.0,760.55,44758.0
760.55,760.75,758.95,760.4,62469.0
760.4,760.7,760.0,760.5,2705.0
760.5,760.8,760.05,760.5,4337.0
760.5,760.5,760.0,760.05,20359.0
760.05,760.45,760.0,760.45,6554.0
760.45,760.45,759.35,760.3,19172.0
760.4,760.5,760.0,760.05,11797.0
760.05,760.45,759.2,760.0,18437.0
760.0,760.5,759.35,760.05,23641.0
760.05,760.4,759.6,760.0,15258.0
760.0,760.2,760.0,760.1,5812.0
760.1,760.15,760.0,760.1,12300.0
760.1,760.4,760.0,760.35,7249.0
760.35,760.4,759.9,760.0,4576.0
760.0,760.2,760.0,760.0,5950.0
760.0,760.5,760.0,760.2,9439.0
760.2,760.5,759.7,760.4,27273.0
760.4,760.5,759.4,760.0,19200.0
760.0,760.6,759.1,760.35,160200.0
760.35,760.6,760.0,760.05,7251.0
760.05,760.45,759.3,760.1,34017.0
760.1,760.3,760.0,760.25,6680.0
760.25,760.25,760.0,760.2,19975.0
760.2,760.2,760.0,760.0,3029.0
