open,high,low,close,volume
517.3,518.65,515.2,515.9,38224.0
515.55,519.1,515.55,517.85,35121.0
517.95,517.95,516.7,516.8,10811.0
516.8,517.05,516.0,516.45,13868.0
516.45,516.85,516.0,516.15,4669.0
516.15,516.9,516.0,516.6,11724.0
516.3,516.6,515.3,515.9,13887.0
515.9,516.6,515.3,516.1,13031.0
516.1,516.2,515.3,515.75,6647.0
515.6,516.6,515.6,516.0,4044.0
516.0,516.45,515.1,515.3,8877.0
515.3,516.6,515.3,516.4,13572.0
516.4,516.8,516.05,516.75,3664.0
516.75,516.9,516.5,516.85,4003.0
516.6,517.45,516.4,516.55,22492.0
516.55,516.85,516.35,516.6,2904.0
516.6,517.1,516.35,516.8,5009.0
516.8,517.5,516.8,517.25,4562.0
517.5,517.5,516.55,516.65,5691.0
516.65,517.45,516.55,517.4,2642.0
