open,high,low,close,volume
126.1,129.09,126.1,128.32,211539.0
128.32,128.8,127.79,128.62,168105.0
128.62,129.35,128.59,129.24,160267.0
129.35,129.35,128.76,128.92,151808.0
128.97,128.97,128.51,128.72,96837.0
128.72,128.76,128.12,128.21,77097.0
128.21,128.22,127.75,128.0,66430.0
128.0,128.0,127.6,127.74,76072.0
127.79,127.79,127.43,127.63,67499.0
127.63,127.63,127.17,127.26,78762.0
127.26,127.36,127.07,127.36,20444.0
127.36,127.65,127.21,127.21,40987.0
127.21,127.5,127.21,127.27,44405.0
127.27,127.43,127.14,127.24,10510.0
127.24,127.49,127.2,127.39,9848.0
127.31,127.36,127.14,127.27,20814.0
127.27,127.3,127.2,127.28,10830.0
127.28,127.29,126.93,127.05,62695.0
127.05,127.16,127.01,127.05,5942.0
127.05,127.45,127.01,127.35,35754.0
127.36,127.45,127.05,127.08,20052.0
127.15,127.15,126.9,126.91,20215.0
126.91,127.0,126.74,126.88,35067.0
126.88,128.12,126.81,127.77,54732.0
127.77,128.19,127.61,128.11,43468.0
128.11,128.25,128.02,128.18,20295.0
128.18,128.18,127.97,128.13,16821.0
128.13,128.14,127.81,128.06,39246.0
128.06,128.22,128.06,128.19,57673.0
128.19,128.7,128.05,128.64,50323.0
128.64,129.05,128.42,128.77,147828.0
128.77,128.8,128.64,128.72,30136.0
128.69,128.69,128.4,128.55,26340.0
128.55,128.62,128.49,128.54,18841.0
128.54,128.62,128.49,128.55,21762.0
128.55,128.75,128.35,128.65,42816.0
128.65,128.75,128.62,128.74,22932.0
128.74,128.76,128.61,128.7,20693.0
128.7,128.7,128.61,128.7,13905.0
128.7,128.76,128.59,128.76,17181.0
128.76,128.76,128.7,128.75,19306.0
128.75,128.75,128.54,128.61,33422.0
128.61,128.65,128.34,128.52,38024.0
128.52,128.92,128.44,128.82,32332.0
128.82,128.92,128.74,128.79,31597.0
128.83,128.83,128.71,128.71,10729.0
128.71,128.81,128.71,128.81,18572.0
128.81,128.81,128.58,128.71,28727.0
128.71,128.74,128.6,128.66,19753.0
128.66,129.06,128.64,129.06,57571.0
129.06,129.7,129.06,129.38,237003.0
129.38,129.55,129.33,129.53,42683.0
129.53,129.54,129.27,129.39,40013.0
129.39,129.5,129.38,129.5,50624.0
129.5,129.61,129.41,129.5,47375.0
129.5,129.6,129.41,129.55,40418.0
129.55,129.65,129.43,129.48,74357.0
129.4,129.59,129.4,129.54,28560.0
129.54,129.75,129.54,129.67,37419.0
