open,high,low,close,volume
341.85,344.9,341.0,342.85,69088.0
342.85,342.85,340.75,341.75,22940.0
341.75,342.45,341.45,342.25,24713.0
342.3,342.3,341.7,341.75,15706.0
341.75,341.85,340.4,340.4,20883.0
340.4,340.55,339.1,339.35,25757.0
339.1,340.15,339.0,339.85,21025.0
339.85,340.7,339.7,340.3,35146.0
340.4,341.05,339.95,341.05,42559.0
341.05,341.05,340.45,340.45,9437.0
340.45,341.75,340.45,341.6,21292.0
341.6,344.2,341.6,343.75,132828.0
343.75,344.35,343.05,343.85,57292.0
343.85,344.0,343.2,343.4,18661.0
343.3,343.6,343.1,343.5,22730.0
343.4,345.65,343.4,344.15,132089.0
344.15,344.15,343.75,343.8,27969.0
343.8,344.3,343.75,344.05,21676.0
344.0,344.1,343.3,344.0,95197.0
344.0,344.15,343.7,344.0,34925.0
344.0,344.6,343.95,344.4,74453.0
344.4,344.9,344.4,344.7,49533.0
344.7,346.35,344.05,346.05,161957.0
346.4,346.85,346.2,346.25,72275.0
346.25,348.0,346.25,347.8,108753.0
347.8,349.0,347.75,348.55,123928.0
348.5,348.7,347.5,347.75,69858.0
347.95,348.0,345.65,345.8,61362.0
345.8,347.65,345.7,346.6,86567.0
346.6,348.0,346.5,348.0,106971.0
348.0,349.95,347.7,349.65,213543.0
350.0,352.0,349.5,351.3,719269.0
351.35,353.0,351.3,352.7,254139.0
352.45,352.8,350.1,352.15,135845.0
352.15,352.75,351.1,352.4,120139.0
352.5,353.0,352.4,352.8,69832.0
352.8,353.0,352.3,352.6,79415.0
352.6,353.0,351.9,351.9,68999.0
351.95,352.1,351.35,351.6,61931.0
351.8,352.95,351.55,351.65,173763.0
351.8,352.0,351.5,351.65,55482.0
351.85,351.95,350.85,351.75,52907.0
351.75,352.65,351.5,351.5,83784.0
351.5,351.8,351.0,351.05,25374.0
351.05,351.55,350.6,351.15,30432.0
351.15,351.4,351.0,351.35,17615.0
351.35,352.5,350.85,352.5,259259.0
352.5,353.95,352.25,353.85,145399.0
353.85,354.7,353.65,354.7,105284.0
354.5,355.0,354.25,354.8,247771.0
354.8,355.0,352.6,354.0,308662.0
354.0,354.2,353.6,353.7,143865.0
353.7,354.05,353.5,353.9,149298.0
353.9,354.65,353.55,354.0,446424.0
354.0,354.65,351.4,351.75,243584.0
351.75,352.0,351.1,351.35,67140.0
351.5,352.0,350.5,351.95,79645.0
351.8,351.95,349.2,349.3,116796.0
349.5,349.65,348.2,348.3,94355.0
348.5,348.75,348.25,348.7,6278.0
