open,high,low,close,volume
141.16,141.33,140.0,140.1,2122.0
140.1,140.69,139.9,140.69,2193.0
140.69,140.69,139.97,140.0,1710.0
140.0,141.3,140.0,140.75,4517.0
140.75,140.84,140.49,140.49,440.0
140.49,140.99,140.49,140.9,2357.0
140.9,140.9,140.52,140.82,870.0
140.82,140.82,140.58,140.58,595.0
140.58,140.79,140.49,140.49,122.0
140.49,140.83,140.45,140.83,85.0
140.83,140.83,140.4,140.4,5462.0
140.4,140.79,140.25,140.25,740.0
140.25,140.25,140.25,140.25,510.0
140.5,140.69,140.5,140.69,463.0
140.79,140.79,140.42,140.79,2205.0
140.79,140.79,140.47,140.52,1039.0
140.55,140.77,140.55,140.77,501.0
140.63,140.63,140.5,140.5,215.0
140.5,140.69,140.36,140.69,539.0
140.69,140.79,140.4,140.79,2020.0
140.79,140.79,140.37,140.37,767.0
140.37,140.37,140.13,140.13,1571.0
140.13,140.68,139.69,140.25,4466.0
140.39,140.39,139.41,139.75,2382.0
139.75,140.09,139.26,140.09,2193.0
140.09,140.19,140.09,140.19,10.0
140.59,140.59,140.26,140.26,153.0
140.18,140.18,139.7,139.7,2658.0
139.7,139.98,139.7,139.98,174.0
139.98,139.99,139.83,139.83,148.0
139.83,140.14,139.83,139.88,322.0
139.88,140.04,139.88,140.0,3205.0
140.0,140.0,139.61,139.61,97.0
139.61,139.83,139.6,139.6,248.0
139.6,139.8,139.6,139.6,631.0
139.6,139.92,139.58,139.91,564.0
139.91,140.05,139.8,140.05,483.0
140.05,140.05,139.84,139.84,307.0
139.84,140.12,139.84,140.12,8.0
140.12,140.12,139.6,140.07,803.0
140.07,140.07,140.07,140.07,0.0
140.05,140.05,140.05,140.05,101.0
139.92,139.92,139.7,139.7,407.0
139.7,139.7,139.7,139.7,100.0
139.95,139.95,139.95,139.95,30.0
139.71,139.92,139.4,139.5,1415.0
139.5,139.75,139.5,139.75,118.0
139.75,139.75,139.31,139.73,2427.0
139.73,139.8,139.4,139.4,443.0
139.4,139.75,139.4,139.75,50.0
139.75,139.76,139.3,139.3,1430.0
139.3,139.3,139.3,139.3,0.0
139.3,139.8,139.3,139.8,1150.0
139.8,139.8,139.35,139.35,115.0
139.41,139.79,139.26,139.26,1193.0
139.26,139.66,139.26,139.66,26.0
139.66,139.66,139.5,139.5,300.0
139.5,139.5,139.01,139.46,1198.0
139.46,139.46,139.01,139.01,216.0
