open,high,low,close,volume
1103.0,1103.5,1092.1,1094.6,11470.0
1093.2,1097.2,1092.0,1097.2,5057.0
1097.2,1104.0,1096.1,1102.4,8682.0
1102.4,1102.4,1100.0,1100.4,3857.0
1100.4,1101.2,1093.0,1093.0,2074.0
1093.0,1096.4,1092.0,1096.1,4740.0
1096.1,1096.1,1092.8,1093.2,883.0
1093.2,1095.7,1092.7,1095.2,1955.0
1095.0,1095.0,1092.7,1093.8,1652.0
1093.8,1095.0,1092.8,1094.0,3413.0
1094.0,1096.9,1093.4,1093.8,2253.0
1093.8,1095.5,1092.4,1093.3,2160.0
1093.3,1099.6,1091.2,1092.0,3967.0
1092.0,1092.9,1091.3,1091.3,803.0
1091.3,1095.5,1091.3,1095.0,4591.0
1095.0,1096.3,1094.2,1095.8,1334.0
1095.8,1095.8,1093.5,1093.5,698.0
1093.5,1093.5,1092.0,1092.0,845.0
1092.0,1092.7,1089.3,1090.0,4028.0
1090.0,1090.1,1088.9,1088.9,656.0
1088.9,1089.7,1088.0,1088.6,1537.0
1088.6,1088.6,1086.5,1086.6,886.0
1086.6,1088.0,1086.6,1088.0,351.0
1088.0,1089.2,1087.3,1088.0,579.0
1088.0,1088.0,1086.5,1086.5,1105.0
1086.5,1087.9,1086.5,1087.9,279.0
1087.9,1087.9,1085.2,1085.6,285.0
1085.6,1086.3,1085.5,1085.5,262.0
1085.9,1090.2,1085.9,1086.6,2674.0
1086.6,1089.2,1085.8,1089.2,553.0
1089.2,1090.0,1087.4,1090.0,392.0
1090.4,1090.8,1088.5,1088.6,379.0
1088.6,1090.7,1087.9,1088.3,935.0
1088.3,1089.3,1086.6,1087.8,554.0
1087.8,1088.4,1086.5,1088.2,442.0
1088.2,1088.2,1087.2,1087.9,85.0
1087.9,1087.9,1086.5,1087.9,414.0
1087.9,1087.9,1086.2,1086.9,413.0
1086.9,1090.4,1086.9,1089.3,2587.0
1088.9,1091.5,1087.1,1090.7,2556.0
1090.7,1091.3,1088.2,1091.2,1351.0
1091.2,1091.8,1088.2,1089.8,1640.0
1089.8,1090.9,1089.2,1089.2,1040.0
1089.2,1089.8,1088.4,1089.0,376.0
1089.0,1089.5,1088.5,1089.4,260.0
1089.4,1089.7,1089.3,1089.3,114.0
1089.3,1090.6,1088.6,1089.7,1517.0
1089.7,1089.9,1088.9,1089.7,720.0
1089.7,1089.7,1087.8,1088.7,996.0
1088.7,1089.0,1087.8,1088.8,347.0
1088.8,1089.4,1087.9,1089.4,604.0
1089.4,1089.6,1088.6,1089.2,640.0
1089.2,1089.8,1089.2,1089.8,300.0
1089.8,1092.0,1089.6,1091.9,3915.0
1091.9,1092.0,1090.2,1091.9,1177.0
1091.9,1092.9,1091.4,1092.9,447.0
1092.9,1093.7,1091.0,1091.6,1387.0
1091.6,1092.5,1091.6,1092.5,132.0
1092.0,1093.0,1091.6,1093.0,1036.0
