open,high,low,close,volume
411.35,414.0,411.05,411.5,4223.0
411.55,412.2,410.55,412.15,688.0
412.15,412.7,411.6,411.85,483.0
411.85,411.9,411.0,411.1,812.0
411.1,411.55,410.0,410.6,307.0
410.6,411.0,408.6,409.35,3545.0
409.35,409.75,409.0,409.2,480.0
409.2,410.45,409.15,410.0,320.0
410.0,410.0,408.55,408.55,11573.0
408.55,409.0,408.5,408.95,1481.0
408.95,408.95,408.5,408.9,187.0
408.9,409.0,406.35,407.15,3177.0
407.15,407.15,406.7,407.15,26.0
407.15,407.15,406.1,407.05,696.0
407.05,407.15,404.85,405.8,28068.0
405.8,407.85,405.8,407.7,986.0
407.7,408.25,407.65,408.2,245.0
408.2,408.2,407.6,407.7,275.0
407.7,408.1,407.35,407.7,530.0
407.5,407.5,406.6,407.2,285.0
407.2,407.2,406.5,406.95,62.0
406.95,406.95,406.1,406.1,168.0
406.45,406.75,405.8,406.75,1422.0
406.75,406.8,405.75,406.1,961.0
406.1,406.5,405.5,406.5,767.0
406.5,406.95,406.5,406.5,72.0
406.6,406.6,403.55,405.85,6949.0
405.85,405.9,405.35,405.4,178.0
405.4,405.95,405.3,405.45,476.0
405.45,405.85,405.0,405.8,756.0
405.8,406.0,405.4,405.4,993.0
405.4,405.7,404.75,404.85,1459.0
404.85,405.5,404.85,404.9,454.0
404.9,405.5,404.9,405.5,235.0
405.5,405.5,404.55,405.4,1303.0
405.4,405.4,405.4,405.4,18.0
405.4,405.5,405.0,405.5,117.0
405.5,405.5,402.0,403.6,10591.0
403.6,405.5,403.35,404.25,7322.0
404.15,405.5,403.35,403.35,10949.0
403.35,404.65,402.5,403.1,14694.0
403.1,405.4,403.1,405.4,2574.0
405.4,405.4,404.7,405.1,678.0
405.1,405.2,404.85,405.2,103.0
405.2,405.2,404.6,404.8,180.0
404.8,405.0,404.75,405.0,40.0
405.0,405.0,404.3,404.55,786.0
404.4,404.75,404.4,404.75,259.0
404.75,406.8,404.45,406.25,2794.0
406.25,406.45,406.05,406.45,593.0
406.35,406.8,406.35,406.8,209.0
406.9,406.9,406.15,406.55,87.0
406.55,406.55,405.75,405.75,1614.0
405.95,406.15,405.95,406.1,37.0
406.1,406.5,405.85,406.5,980.0
406.5,406.5,405.9,406.2,239.0
406.2,406.2,405.9,406.2,117.0
406.2,406.5,405.7,406.5,2429.0
406.5,407.55,406.25,407.0,3700.0
