open,high,low,close,volume
1440.4,1446.7,1435.1,1442.3,2715.0
1442.3,1444.9,1439.2,1440.5,2197.0
1440.5,1441.6,1435.7,1435.7,2500.0
1435.7,1440.0,1433.2,1440.0,1758.0
1440.0,1440.0,1434.6,1434.9,1700.0
1434.9,1437.5,1427.1,1433.9,2588.0
1433.9,1435.0,1431.3,1431.5,1367.0
1431.0,1434.7,1423.4,1434.7,5232.0
1434.7,1434.7,1414.9,1416.4,69683.0
1416.4,1417.8,1412.0,1413.0,2688.0
1413.0,1413.0,1408.4,1412.5,4093.0
1412.5,1412.5,1405.1,1405.5,4024.0
1405.5,1410.1,1405.5,1408.2,5289.0
1408.2,1410.9,1407.0,1407.0,1396.0
1407.6,1410.3,1406.1,1407.3,820.0
1407.3,1409.2,1407.0,1409.2,1169.0
1409.2,1409.2,1395.1,1397.1,5124.0
1398.0,1398.7,1396.0,1396.6,1914.0
1396.6,1398.6,1393.1,1395.1,1777.0
1395.1,1398.0,1395.1,1397.9,775.0
1397.9,1400.0,1393.1,1400.0,1951.0
1397.9,1398.0,1392.7,1394.6,3979.0
1395.0,1397.5,1394.2,1395.2,1658.0
1395.2,1396.9,1392.3,1395.9,1697.0
1395.9,1397.4,1395.8,1397.2,660.0
1397.2,1399.8,1395.0,1398.1,1811.0
1398.1,1415.9,1397.3,1412.0,10076.0
1412.0,1413.8,1409.8,1410.5,1892.0
1411.6,1413.0,1410.5,1412.1,882.0
1412.1,1415.2,1411.4,1414.5,1180.0
1414.7,1417.4,1413.9,1416.8,1178.0
1416.8,1417.0,1415.0,1417.0,819.0
1417.0,1417.0,1414.2,1415.6,3008.0
1415.6,1416.3,1411.0,1414.6,2181.0
1414.6,1415.4,1412.6,1415.4,868.0
1415.4,1416.4,1414.0,1416.1,790.0
1416.2,1416.6,1413.3,1414.0,973.0
1414.0,1415.5,1413.2,1414.0,690.0
1414.0,1414.8,1412.0,1413.9,1310.0
1413.9,1414.9,1412.0,1413.9,1221.0
1413.9,1413.9,1410.4,1412.3,897.0
1412.3,1413.2,1410.1,1410.7,876.0
1410.7,1411.9,1402.1,1403.5,2082.0
1403.9,1403.9,1401.0,1402.5,944.0
1402.5,1402.7,1400.1,1402.1,1007.0
1402.1,1404.7,1401.4,1402.6,1187.0
1402.6,1403.5,1400.8,1401.3,948.0
1401.3,1403.8,1400.1,1403.3,1104.0
1403.3,1405.0,1402.6,1404.2,988.0
1404.2,1405.3,1403.9,1404.3,829.0
1404.3,1405.0,1401.5,1402.3,1502.0
1402.3,1404.6,1401.5,1403.4,939.0
1403.4,1404.7,1402.5,1403.6,833.0
1403.6,1404.5,1402.2,1403.9,959.0
1403.9,1404.5,1403.0,1404.2,811.0
1404.2,1404.7,1403.0,1404.5,637.0
1404.6,1404.8,1403.0,1403.9,672.0
1403.9,1404.6,1402.3,1402.9,1591.0
1402.9,1404.0,1402.2,1403.5,499.0
