open,high,low,close,volume
76.65,76.75,76.26,76.34,389785.0
76.35,76.41,76.22,76.39,238762.0
76.39,76.46,76.35,76.4,124471.0
76.4,76.42,76.27,76.31,122754.0
76.31,76.34,76.2,76.25,91573.0
76.25,76.3,76.22,76.23,71933.0
76.24,76.37,76.21,76.23,483340.0
76.22,76.3,76.21,76.22,84878.0
76.22,76.25,76.21,76.21,191625.0
76.21,76.23,76.21,76.21,152166.0
76.21,76.24,76.12,76.18,201971.0
76.18,76.3,76.15,76.24,93908.0
76.24,76.3,76.22,76.25,38942.0
76.25,76.32,76.21,76.3,61449.0
76.29,76.34,76.24,76.32,56113.0
76.32,76.42,76.3,76.41,53444.0
76.41,76.56,76.4,76.5,108327.0
76.5,76.51,76.42,76.43,51134.0
76.45,76.47,76.36,76.36,20211.0
76.36,76.4,76.32,76.33,28871.0
76.33,76.37,76.27,76.31,51835.0
76.31,76.32,76.03,76.13,470000.0
76.13,76.25,76.12,76.21,39674.0
76.21,76.25,76.11,76.16,88964.0
76.14,76.2,76.14,76.17,61345.0
76.15,76.18,76.1,76.1,52716.0
76.12,76.16,76.06,76.06,111098.0
76.06,76.1,76.01,76.1,82539.0
76.1,76.11,76.01,76.02,72517.0
76.02,76.09,76.02,76.05,42018.0
76.08,76.1,76.04,76.08,35198.0
76.08,76.1,76.02,76.03,80423.0
76.03,76.07,76.01,76.04,44670.0
76.04,76.05,76.0,76.04,82210.0
76.04,76.09,76.0,76.07,43387.0
76.07,76.08,76.03,76.04,30906.0
76.04,76.08,76.01,76.06,41817.0
76.06,76.09,76.01,76.05,42296.0
76.05,76.07,76.01,76.02,45688.0
76.02,76.11,76.02,76.11,25594.0
76.11,76.14,76.06,76.1,21718.0
76.1,76.16,76.03,76.09,32082.0
76.09,76.1,76.04,76.04,15868.0
76.04,76.11,76.04,76.09,31499.0
76.09,76.13,76.06,76.1,51957.0
76.1,76.19,76.09,76.16,12560.0
76.16,76.18,76.15,76.17,13437.0
76.18,76.18,76.15,76.17,17156.0
76.17,76.24,76.15,76.23,25141.0
76.23,76.23,76.17,76.2,17341.0
76.2,76.31,76.2,76.25,68262.0
76.25,76.3,76.21,76.29,22206.0
76.27,76.34,76.27,76.3,73852.0
76.3,76.34,76.28,76.3,24125.0
76.28,76.32,76.28,76.31,26314.0
76.31,76.34,76.25,76.3,102985.0
76.3,76.32,76.26,76.3,56817.0
76.3,76.34,76.3,76.32,20167.0
76.32,76.35,76.29,76.34,118209.0
76.34,76.34,76.33,76.33,2079.0
