open,high,low,close,volume
85.87,86.07,85.5,85.76,979186.0
85.76,85.8,85.3,85.47,726229.0
85.47,85.79,85.46,85.75,263544.0
85.75,85.85,85.59,85.67,145180.0
85.67,85.75,85.59,85.75,143601.0
85.74,85.8,85.53,85.57,221277.0
85.57,85.66,85.56,85.63,162713.0
85.63,85.65,85.51,85.65,128171.0
85.65,85.68,85.38,85.4,298534.0
85.4,85.4,85.22,85.32,345089.0
85.32,85.38,85.3,85.32,174974.0
85.32,85.41,85.15,85.35,200001.0
85.37,85.56,85.35,85.56,134018.0
85.56,85.67,85.5,85.59,146165.0
85.59,85.6,85.46,85.6,65703.0
85.57,85.69,85.56,85.69,73723.0
85.69,85.79,85.6,85.66,173387.0
85.68,85.73,85.63,85.68,91142.0
85.68,85.8,85.64,85.74,145107.0
85.74,85.8,85.68,85.8,148078.0
85.8,85.8,85.41,85.49,318625.0
85.5,85.51,85.35,85.46,215784.0
85.43,85.48,85.36,85.48,177494.0
85.48,85.54,85.3,85.44,197555.0
85.44,85.49,85.38,85.42,63980.0
85.37,85.46,85.35,85.38,199165.0
85.38,85.39,85.17,85.25,477856.0
85.25,85.29,85.13,85.23,423061.0
85.23,85.27,85.1,85.24,246409.0
85.24,85.34,85.1,85.3,223090.0
85.29,85.35,85.2,85.2,131823.0
85.2,85.26,85.08,85.16,207253.0
85.16,85.23,85.13,85.2,116979.0
85.2,85.2,85.03,85.1,170762.0
85.1,85.14,85.02,85.07,90185.0
85.07,85.15,85.02,85.07,189368.0
85.07,85.3,85.03,85.26,95679.0
85.29,85.29,85.09,85.13,288091.0
85.13,85.22,85.12,85.22,428566.0
85.22,85.4,85.21,85.33,453665.0
85.33,85.39,85.3,85.37,139981.0
85.37,85.48,85.27,85.4,195351.0
85.4,85.44,85.22,85.42,272466.0
85.42,85.45,85.34,85.4,109890.0
85.4,85.43,85.27,85.38,160956.0
85.38,85.43,85.11,85.21,278579.0
85.22,85.27,85.03,85.27,231498.0
85.27,85.28,84.96,85.17,838279.0
85.17,85.25,85.11,85.11,210026.0
85.11,85.21,85.09,85.2,111047.0
85.2,85.24,85.12,85.15,125430.0
85.19,85.2,85.08,85.08,92563.0
85.08,85.16,85.0,85.08,166842.0
85.08,85.1,84.96,85.03,255142.0
85.03,85.03,84.89,84.97,318386.0
84.97,85.12,84.97,85.02,146259.0
85.02,85.11,85.02,85.1,63351.0
85.1,85.33,85.06,85.29,204750.0
85.32,85.35,85.16,85.28,266752.0
85.26,85.29,85.26,85.29,4995.0
