open,high,low,close,volume
212.0,212.1,209.89,210.66,124462.0
210.98,211.22,210.64,210.91,36496.0
210.91,211.4,210.5,210.69,16043.0
210.69,210.83,210.2,210.26,11990.0
210.26,210.42,210.01,210.1,19889.0
210.1,210.11,209.81,209.95,20546.0
209.95,210.14,209.71,209.99,11498.0
209.99,209.99,209.4,209.6,20369.0
209.6,209.6,209.25,209.3,10692.0
209.25,209.35,208.54,208.75,38366.0
208.75,208.93,208.5,208.52,18494.0
208.59,208.62,208.25,208.42,33441.0
208.42,208.86,208.35,208.79,9412.0
208.79,208.79,208.53,208.56,5162.0
208.56,208.67,208.2,208.27,29621.0
208.43,208.57,208.27,208.51,4964.0
208.51,209.3,208.51,208.95,10963.0
208.95,209.16,208.51,208.93,10858.0
208.83,209.01,208.5,208.73,9617.0
208.73,209.19,208.56,209.07,8969.0
209.07,209.31,208.73,208.88,10476.0
209.05,209.05,208.45,208.67,12573.0
208.58,208.76,208.2,208.49,12065.0
208.49,208.58,208.22,208.3,6903.0
208.3,208.73,208.21,208.54,11041.0
208.54,208.78,208.29,208.64,7707.0
208.64,208.71,208.05,208.15,7931.0
208.26,208.26,207.53,208.03,33249.0
208.03,208.19,207.72,207.99,12193.0
207.99,208.39,207.77,208.1,23577.0
208.1,208.32,207.81,208.31,11162.0
208.31,208.31,207.81,207.81,6119.0
207.81,208.1,207.81,207.95,6650.0
207.95,208.28,207.81,207.98,7820.0
207.98,208.14,207.81,208.09,9532.0
207.85,208.39,207.85,208.19,10566.0
208.18,208.3,207.81,208.14,6753.0
208.14,208.31,207.8,207.96,6766.0
207.96,208.0,207.72,207.84,7078.0
207.84,208.84,207.65,208.72,13695.0
208.72,208.87,208.33,208.7,12548.0
208.7,208.87,208.26,208.55,11742.0
208.46,208.75,208.3,208.35,14670.0
208.57,208.9,208.21,208.58,31271.0
208.58,208.85,208.34,208.66,15894.0
208.66,208.82,208.47,208.61,17822.0
208.61,208.87,208.5,208.72,10478.0
208.72,208.94,208.59,208.66,11940.0
208.8,208.95,208.63,208.81,9739.0
208.95,208.95,208.62,208.8,11190.0
208.8,208.99,208.72,208.8,9852.0
208.88,208.99,208.7,208.77,12223.0
208.93,209.0,208.71,208.76,12128.0
208.88,208.99,208.57,208.78,13197.0
208.78,209.0,208.52,208.79,16205.0
208.65,208.96,208.44,208.71,16605.0
208.57,208.94,208.5,208.81,13834.0
208.89,208.98,208.64,208.64,12505.0
208.85,208.97,208.5,208.53,17373.0
