open,high,low,close,volume
938.4,940.0,931.05,932.9,9691.0
933.25,934.95,931.55,932.9,1657.0
932.85,935.0,931.55,932.4,1807.0
932.6,933.8,932.0,932.6,1179.0
932.6,932.6,930.8,930.8,995.0
930.8,930.8,928.0,929.95,2028.0
929.95,929.95,926.0,926.6,1958.0
926.6,928.1,925.85,927.5,1315.0
927.5,927.75,925.2,926.2,254.0
926.2,927.55,925.0,926.7,2194.0
926.7,928.0,926.25,927.45,373.0
927.45,928.55,927.2,927.2,378.0
927.2,929.4,926.55,926.55,1078.0
926.55,929.2,926.55,929.2,1076.0
929.2,929.3,927.85,929.3,193.0
929.3,929.4,928.2,928.45,711.0
928.45,933.0,928.45,931.85,2509.0
931.9,932.15,930.25,930.25,204.0
930.25,931.35,929.4,930.95,313.0
930.95,932.0,930.55,930.55,1422.0
930.55,931.95,929.1,929.1,164.0
929.1,930.05,929.0,929.95,143.0
929.85,932.75,929.85,932.45,6312.0
932.45,933.15,931.95,931.95,202.0
931.65,933.05,931.55,932.95,298.0
932.95,933.85,932.05,932.25,299.0
932.25,933.9,931.5,932.1,2336.0
932.1,933.0,931.5,932.8,231.0
932.8,932.8,931.5,932.75,350.0
931.75,933.95,931.75,933.3,257.0
933.3,933.3,933.3,933.3,4.0
933.3,933.3,932.3,932.3,64.0
932.3,932.4,932.3,932.4,17.0
932.4,933.35,932.4,933.35,59.0
933.35,933.35,933.2,933.2,111.0
933.2,933.2,932.5,932.5,29.0
932.5,932.5,932.5,932.5,72.0
932.45,932.45,931.75,931.75,143.0
931.75,931.75,931.75,931.75,0.0
931.95,931.95,931.5,931.5,1486.0
931.5,932.15,931.5,932.15,141.0
932.15,932.15,921.9,922.8,21280.0
922.8,923.0,922.2,922.2,1513.0
921.5,922.0,921.05,921.65,1147.0
921.65,921.8,921.0,921.65,42.0
921.65,921.75,920.2,920.65,544.0
920.65,922.95,920.2,922.75,2319.0
922.75,923.0,921.95,921.95,2124.0
922.05,922.95,921.8,921.8,113.0
921.8,922.9,921.5,921.6,248.0
921.6,923.0,921.6,922.95,310.0
922.95,922.95,922.0,922.0,234.0
922.0,922.85,922.0,922.85,8.0
922.85,922.85,921.65,921.65,102.0
921.65,922.95,921.65,922.6,70.0
922.6,923.0,921.6,922.8,923.0
922.8,923.0,922.8,922.8,370.0
922.8,922.8,921.75,922.6,42.0
922.6,922.6,921.15,921.55,354.0
