open,high,low,close,volume
163.77,164.96,163.77,164.1,9536.0
164.09,164.97,163.96,164.73,5853.0
164.95,164.99,164.2,164.2,14991.0
164.2,164.99,164.2,164.53,4797.0
164.81,164.89,164.32,164.32,3353.0
164.32,164.6,164.1,164.22,4647.0
164.22,164.32,164.1,164.1,4425.0
164.1,164.67,164.1,164.67,1269.0
164.67,164.67,164.12,164.13,3575.0
164.13,164.63,164.13,164.43,3196.0
164.43,164.43,164.1,164.4,7441.0
164.4,164.4,164.12,164.12,945.0
164.1,164.38,163.9,164.38,13041.0
164.38,164.49,164.25,164.25,2166.0
164.25,164.37,164.04,164.15,559.0
164.15,164.46,164.15,164.4,941.0
164.4,164.62,164.32,164.46,1571.0
164.46,164.61,164.13,164.2,2943.0
164.22,164.39,164.04,164.09,2429.0
164.09,164.42,164.09,164.23,1230.0
164.22,164.39,164.0,164.06,2403.0
164.06,164.06,163.7,163.7,1108.0
163.7,163.91,163.7,163.77,2912.0
163.77,163.93,163.74,163.93,1266.0
163.93,163.99,163.93,163.93,169.0
163.93,164.41,163.93,164.19,3655.0
164.19,164.19,164.0,164.07,865.0
164.04,164.04,163.76,163.9,504.0
163.9,164.0,163.76,164.0,313.0
164.0,164.0,163.84,164.0,1332.0
164.0,164.1,163.95,164.0,802.0
164.1,164.1,163.92,163.92,516.0
163.92,163.96,163.8,163.85,944.0
163.85,163.85,163.8,163.85,602.0
163.85,163.85,163.76,163.8,1812.0
163.8,163.96,163.76,163.92,1895.0
163.92,163.92,163.81,163.81,882.0
163.81,163.94,163.7,163.78,4979.0
163.78,163.78,163.7,163.71,592.0
163.88,163.91,163.8,163.84,686.0
163.84,163.84,163.71,163.8,884.0
163.8,163.91,163.72,163.89,338.0
163.89,163.95,163.8,163.83,474.0
163.83,164.05,163.83,163.91,536.0
163.91,163.92,163.72,163.79,970.0
163.79,163.94,163.72,163.94,876.0
163.94,163.94,163.79,163.84,2606.0
163.84,163.87,163.75,163.76,377.0
163.76,164.27,163.76,164.27,597.0
164.27,164.27,163.9,163.9,2691.0
163.9,163.99,163.76,163.76,1176.0
163.76,163.94,163.75,163.92,782.0
163.92,164.0,163.75,163.78,5857.0
163.78,164.04,163.78,164.02,904.0
163.85,163.97,163.71,163.73,2015.0
163.73,163.95,163.71,163.91,656.0
163.91,163.97,163.78,163.92,722.0
163.92,163.96,163.76,163.86,411.0
163.86,163.86,163.7,163.86,3432.0
