open,high,low,close,volume
1066.0,1069.6,1066.0,1068.6,440064.0
1068.8,1076.6,1068.5,1075.0,532157.0
1074.9,1081.8,1074.9,1080.9,511130.0
1081.0,1082.5,1079.7,1082.0,260245.0
1082.0,1083.0,1080.5,1081.4,161999.0
1081.3,1084.0,1080.5,1080.8,763146.0
1080.8,1081.9,1079.5,1080.5,453989.0
1081.0,1081.9,1080.2,1081.1,243529.0
1081.2,1081.8,1078.1,1078.8,247624.0
1078.6,1078.8,1077.0,1078.4,171139.0
1078.5,1079.9,1077.8,1078.2,101665.0
1078.5,1079.7,1078.4,1079.1,63269.0
1079.1,1080.0,1078.5,1079.5,98126.0
1080.0,1081.6,1079.5,1080.5,454086.0
1081.0,1081.0,1079.5,1079.6,90077.0
1080.0,1082.0,1079.4,1080.5,125940.0
1080.4,1080.5,1078.6,1079.6,81775.0
1079.7,1079.7,1075.9,1077.9,487763.0
1078.0,1078.6,1077.5,1078.3,96307.0
1078.4,1080.0,1078.2,1079.6,101940.0
1079.8,1080.0,1077.9,1079.6,523734.0
1080.0,1080.8,1078.5,1079.1,298617.0
1079.0,1081.6,1078.7,1080.6,337644.0
1080.6,1081.0,1078.2,1078.7,128235.0
1078.9,1079.0,1078.0,1078.9,69772.0
1079.0,1079.7,1078.3,1078.9,151401.0
1078.6,1079.5,1078.3,1078.6,90479.0
1078.7,1079.2,1077.8,1078.6,204644.0
1078.5,1078.6,1077.0,1077.0,120795.0
1077.0,1077.2,1075.3,1077.0,159974.0
1077.0,1077.0,1073.3,1075.3,146241.0
1075.3,1076.6,1074.5,1075.3,176837.0
1075.6,1076.6,1074.8,1076.1,243953.0
1076.5,1077.7,1075.6,1077.4,206092.0
1077.5,1078.2,1077.0,1077.5,69835.0
1077.6,1077.7,1075.4,1075.9,77162.0
1076.1,1076.9,1075.6,1076.3,67660.0
1076.0,1076.7,1075.0,1075.5,85971.0
1075.9,1076.2,1074.6,1075.2,83054.0
1075.0,1076.4,1075.0,1076.3,55225.0
1076.3,1078.2,1075.9,1078.0,187859.0
1078.2,1085.5,1078.1,1083.0,561551.0
1083.0,1085.1,1081.8,1082.1,723590.0
1082.3,1082.8,1081.0,1081.6,100211.0
1081.5,1082.5,1081.0,1082.2,330722.0
1082.2,1082.5,1081.7,1082.4,75346.0
1082.5,1082.5,1080.6,1080.7,373659.0
1080.9,1081.0,1079.2,1079.8,109563.0
1079.9,1080.9,1079.3,1080.4,109392.0
1080.1,1080.5,1078.6,1078.8,94455.0
1078.9,1078.9,1076.7,1077.9,131835.0
1078.1,1078.9,1077.6,1078.5,64813.0
1078.5,1079.0,1077.6,1078.2,95094.0
1078.4,1078.5,1076.2,1076.7,73840.0
1076.7,1077.0,1076.2,1077.0,60713.0
1077.0,1078.0,1076.9,1078.0,163859.0
1078.0,1078.0,1077.5,1078.0,61539.0
1078.0,1078.1,1077.2,1077.6,62707.0
1077.5,1078.0,1077.4,1078.0,32333.0
