open,high,low,close,volume
161.5,161.5,161.0,161.13,351.0
161.13,161.13,160.1,161.04,576.0
161.04,161.04,159.25,159.25,5131.0
159.25,160.75,159.25,160.69,767.0
160.69,161.12,160.15,160.87,1554.0
160.87,161.0,160.51,161.0,329.0
161.0,161.0,160.33,160.33,336.0
160.33,160.33,160.0,160.1,294.0
160.1,160.19,160.0,160.05,332.0
160.05,160.18,159.58,159.58,1178.0
159.82,159.83,159.22,159.68,2035.0
159.73,159.78,159.73,159.74,173.0
159.74,160.03,159.74,160.03,1473.0
160.03,160.03,159.64,159.64,70.0
159.64,159.95,159.61,159.61,292.0
159.6,159.95,159.6,159.95,659.0
159.95,160.04,159.5,159.59,615.0
159.59,159.59,159.55,159.55,44.0
159.55,160.01,159.05,160.0,7076.0
160.0,160.04,160.0,160.04,18.0
160.09,160.38,160.0,160.38,2701.0
160.38,160.38,160.38,160.38,0.0
160.95,160.95,160.0,160.13,1923.0
160.72,161.02,160.72,160.85,671.0
160.61,160.61,160.2,160.57,2178.0
160.57,160.57,160.57,160.57,1.0
160.57,160.57,160.25,160.25,6.0
160.25,160.25,158.5,159.07,5931.0
159.07,159.4,159.07,159.4,637.0
159.4,159.4,159.32,159.4,464.0
159.4,159.4,159.0,159.01,849.0
159.01,159.31,158.83,159.31,861.0
159.31,159.31,159.0,159.0,619.0
158.83,158.86,158.5,158.86,7110.0
158.86,158.88,158.84,158.84,184.0
158.84,158.84,158.69,158.69,8.0
158.69,158.69,158.57,158.66,50.0
158.66,158.71,158.56,158.56,354.0
158.56,158.57,158.56,158.57,66.0
158.57,158.65,157.08,158.65,4771.0
158.65,158.65,157.42,157.9,1118.0
157.9,158.4,157.44,157.65,1587.0
157.65,157.71,157.65,157.67,47.0
157.67,157.99,157.67,157.68,71.0
157.68,157.76,157.68,157.76,837.0
157.74,158.3,157.74,158.05,2614.0
158.0,158.05,157.8,157.81,268.0
157.81,158.14,157.81,158.03,246.0
158.03,158.3,158.01,158.3,400.0
158.3,158.3,158.0,158.05,918.0
158.05,158.51,158.05,158.51,12.0
158.07,158.67,158.07,158.12,517.0
158.12,158.5,158.12,158.5,118.0
158.5,158.5,158.17,158.41,1817.0
158.41,158.51,158.16,158.16,430.0
158.16,158.5,158.16,158.5,1.0
158.5,158.5,158.11,158.11,203.0
158.11,158.11,158.11,158.11,0.0
158.11,158.42,158.11,158.13,12.0
