open,high,low,close,volume
86.5,87.49,86.5,87.49,101.0
86.51,86.51,85.73,86.38,529.0
86.38,86.38,86.03,86.27,5.0
86.27,87.11,86.27,87.11,3.0
87.14,87.14,86.64,86.93,447.0
86.93,86.93,86.49,86.49,5.0
86.49,86.49,86.03,86.42,281.0
86.42,86.68,86.3,86.3,846.0
86.3,86.3,86.02,86.02,200.0
86.02,86.02,86.0,86.0,42.0
86.0,86.37,86.0,86.37,133.0
86.37,86.37,86.04,86.06,244.0
86.06,86.06,86.06,86.06,0.0
86.06,86.06,86.06,86.06,0.0
86.06,86.31,86.06,86.06,115.0
86.06,86.34,86.06,86.34,460.0
86.34,86.34,86.34,86.34,0.0
86.34,86.34,86.0,86.0,1000.0
86.0,86.0,86.0,86.0,1731.0
86.0,86.0,85.48,85.5,258.0
85.5,86.06,85.5,86.06,5.0
86.06,86.06,85.65,85.65,333.0
85.65,85.65,85.52,85.52,700.0
85.52,85.52,85.52,85.52,200.0
85.52,85.52,85.52,85.52,0.0
85.52,85.82,85.52,85.82,116.0
85.82,85.82,85.71,85.71,18.0
85.71,85.71,85.71,85.71,0.0
85.71,85.71,85.71,85.71,0.0
85.71,85.71,85.71,85.71,0.0
85.71,85.71,85.71,85.71,0.0
85.71,85.71,85.71,85.71,0.0
85.71,85.71,85.71,85.71,0.0
85.71,85.77,85.52,85.52,648.0
85.52,85.52,85.52,85.52,0.0
85.52,85.52,85.52,85.52,0.0
85.52,85.7,85.52,85.6,60.0
85.6,85.6,85.6,85.6,0.0
85.6,85.6,85.6,85.6,0.0
85.6,85.6,85.6,85.6,0.0
83.15,84.69,83.15,84.69,7274.0
84.69,84.69,83.81,84.37,1482.0
84.37,84.97,84.37,84.97,63.0
84.97,84.97,84.41,84.92,2.0
84.92,84.92,84.92,84.92,0.0
84.92,85.38,84.92,85.38,238.0
85.38,85.38,85.38,85.38,2.0
85.38,85.38,85.38,85.38,0.0
85.38,85.38,85.31,85.31,44.0
85.31,85.31,85.26,85.26,50.0
85.26,85.26,85.26,85.26,0.0
85.26,85.49,85.26,85.49,722.0
85.46,85.46,85.46,85.46,279.0
85.46,85.46,85.46,85.46,0.0
85.46,85.46,85.46,85.46,0.0
85.46,85.46,85.46,85.46,0.0
85.46,85.46,85.16,85.16,40.0
85.16,85.16,85.03,85.03,55.0
84.0,85.06,83.55,85.06,877.0
