open,high,low,close,volume
163.65,163.65,162.0,162.41,12009.0
162.41,162.43,161.31,161.98,16447.0
161.98,162.27,161.6,161.6,15084.0
161.6,162.21,161.3,161.54,25790.0
161.54,161.92,161.46,161.69,16062.0
161.69,161.75,161.45,161.45,6390.0
161.45,161.55,161.16,161.27,3626.0
161.27,161.62,161.16,161.46,1313.0
161.46,161.59,161.34,161.34,5670.0
161.34,161.34,160.99,161.15,7657.0
161.15,161.28,161.01,161.22,1951.0
161.22,161.3,161.05,161.26,2039.0
161.26,161.26,161.0,161.14,12457.0
161.14,161.25,161.01,161.25,1661.0
161.25,161.33,161.17,161.17,630.0
161.17,161.25,161.03,161.25,1406.0
161.25,161.25,161.08,161.1,121.0
161.21,161.21,161.1,161.1,213.0
161.1,161.25,161.1,161.1,1397.0
161.1,161.25,161.1,161.25,100.0
161.25,161.25,161.11,161.25,674.0
161.25,161.25,161.1,161.1,3432.0
161.1,161.1,160.71,160.84,10011.0
160.87,160.87,160.67,160.67,339.0
160.67,160.99,160.67,160.94,198.0
160.94,161.12,160.88,161.1,1555.0
160.9,160.97,160.67,160.68,2900.0
160.68,160.95,160.68,160.82,325.0
160.82,160.95,160.75,160.8,843.0
160.8,160.81,160.62,160.81,4346.0
160.72,160.91,160.64,160.9,1215.0
160.9,160.9,159.72,160.68,22983.0
160.68,160.68,160.25,160.25,13.0
160.25,160.72,160.25,160.72,492.0
160.72,160.72,160.25,160.6,4488.0
160.6,160.94,160.46,160.73,8526.0
160.73,160.87,160.6,160.69,2185.0
160.69,160.75,160.58,160.75,275.0
160.75,161.22,160.75,161.01,10982.0
161.01,161.61,161.0,161.61,5503.0
161.61,161.61,159.75,159.83,48487.0
159.83,160.31,159.54,159.82,27129.0
159.82,160.28,159.68,160.07,6540.0
160.07,160.48,160.0,160.47,5250.0
160.47,160.47,160.3,160.46,899.0
160.46,160.54,160.37,160.54,1187.0
160.54,160.8,160.2,160.8,9521.0
160.8,161.24,160.55,160.55,6770.0
160.55,160.61,160.47,160.5,658.0
160.5,160.65,160.43,160.55,853.0
160.55,160.55,160.4,160.48,59.0
160.48,160.48,160.3,160.3,453.0
160.3,160.48,160.3,160.48,275.0
160.48,160.55,160.35,160.52,580.0
160.52,160.52,160.0,160.24,5218.0
160.24,160.43,160.24,160.36,210.0
160.36,160.39,160.13,160.13,1200.0
160.13,160.43,160.0,160.04,9708.0
160.04,160.04,160.03,160.03,75.0
