open,high,low,close,volume
410.0,411.8,408.05,409.55,26336.0
409.55,411.05,408.55,408.55,18087.0
408.85,409.0,405.8,406.7,18005.0
406.7,407.65,405.75,407.25,4426.0
407.25,407.25,405.35,405.9,9710.0
406.0,406.0,405.2,405.7,2273.0
405.7,405.75,405.2,405.45,3799.0
405.45,405.5,404.8,405.2,3363.0
405.2,405.2,404.3,404.65,6557.0
404.65,404.65,404.05,404.1,2638.0
404.1,409.65,403.8,409.2,72147.0
408.8,409.9,408.75,409.2,5731.0
409.2,410.65,409.2,409.95,9824.0
409.95,409.95,408.95,409.45,3699.0
409.45,409.6,408.65,408.75,1674.0
408.75,409.5,408.75,408.95,3844.0
408.95,409.25,408.8,409.0,1488.0
409.0,409.0,408.5,408.5,1905.0
408.5,408.85,408.3,408.85,8014.0
408.85,408.85,408.1,408.75,2709.0
408.75,408.75,408.2,408.4,5659.0
408.4,408.8,408.0,408.5,74966.0
408.5,408.9,408.45,408.8,2251.0
408.6,409.9,408.0,409.65,8001.0
409.65,409.9,409.05,409.5,4472.0
409.5,409.85,409.15,409.2,2112.0
409.2,409.5,409.0,409.1,3986.0
409.1,409.3,409.0,409.0,2082.0
409.0,409.2,408.75,408.8,13741.0
408.85,409.85,408.2,408.55,37138.0
408.55,408.8,408.25,408.55,1744.0
408.55,408.7,408.15,408.2,2071.0
