open,high,low,close,volume
2780.0,2786.5,2749.0,2749.2,29145.0
2749.2,2754.7,2746.2,2753.1,6653.0
2753.1,2763.6,2753.1,2757.8,5464.0
2757.8,2757.8,2750.0,2750.1,2221.0
2750.1,2757.2,2750.1,2752.8,4093.0
2752.8,2757.5,2751.7,2752.1,4771.0
2752.1,2752.1,2747.0,2748.6,2397.0
2748.6,2759.0,2748.6,2758.7,2643.0
2758.7,2758.7,2751.5,2754.3,1414.0
2754.3,2756.0,2751.3,2752.1,1701.0
2752.3,2760.1,2751.2,2751.2,2571.0
2751.2,2755.9,2751.2,2753.1,3206.0
2753.8,2762.0,2753.5,2762.0,2094.0
2762.0,2768.7,2757.6,2758.8,6297.0
2758.8,2766.9,2757.0,2762.3,2023.0
2762.3,2825.3,2760.5,2817.5,62557.0
2816.2,2824.0,2813.4,2819.5,9215.0
2819.5,2838.0,2814.4,2833.0,11441.0
2830.0,2832.5,2819.4,2824.9,5533.0
2824.9,2830.0,2820.2,2821.1,3138.0
2821.1,2825.8,2810.4,2816.5,3698.0
2816.5,2817.4,2812.4,2814.8,1583.0
2814.8,2817.1,2811.1,2813.2,1538.0
2812.8,2815.5,2810.3,2815.0,1723.0
2815.0,2818.1,2812.7,2817.5,1458.0
2817.5,2819.5,2813.4,2813.4,4217.0
2813.4,2813.9,2809.9,2811.3,2101.0
2811.3,2815.6,2810.0,2815.6,1782.0
2815.6,2829.0,2814.9,2817.7,3165.0
2817.7,2818.6,2813.3,2818.6,1050.0
2818.6,2818.6,2815.1,2818.3,1181.0
2818.3,2828.1,2810.7,2828.1,68917.0
2828.1,2831.0,2823.7,2829.8,3589.0
2829.8,2833.8,2826.8,2830.4,3952.0
2830.5,2830.5,2823.9,2825.8,3286.0
2825.8,2825.9,2820.4,2822.6,1612.0
2822.6,2825.7,2821.1,2822.6,889.0
2822.6,2827.0,2822.6,2824.4,1949.0
2824.4,2824.4,2819.9,2821.0,3705.0
2821.0,2824.9,2821.0,2822.5,1859.0
2822.5,2827.5,2819.8,2822.1,3429.0
2822.1,2823.6,2820.3,2820.6,897.0
2820.4,2822.6,2818.5,2820.0,1545.0
2818.7,2830.1,2818.7,2829.1,7338.0
2829.1,2834.9,2827.5,2829.0,6466.0
2829.0,2829.0,2823.1,2823.1,2842.0
2824.0,2825.5,2822.4,2823.6,1196.0
2823.6,2823.8,2819.7,2821.3,2532.0
2821.3,2824.0,2821.0,2823.9,2259.0
2823.9,2823.9,2819.7,2820.6,2896.0
2821.5,2823.0,2820.0,2822.4,4904.0
2822.4,2822.9,2817.6,2820.9,6266.0
2820.9,2821.9,2815.3,2817.1,5438.0
2817.1,2817.9,2811.5,2812.7,1426.0
2812.0,2813.1,2811.0,2811.1,1494.0
2811.1,2815.5,2810.0,2815.5,5828.0
2815.5,2815.5,2810.1,2810.1,2379.0
2810.1,2812.9,2810.1,2811.9,3437.0
2811.9,2812.3,2810.0,2810.8,1572.0
