open,high,low,close,volume
166.19,166.19,166.19,166.19,55.0
166.19,168.0,166.19,166.95,1259.0
166.64,167.0,163.82,166.74,2751.0
166.74,166.74,166.74,166.74,0.0
166.74,166.74,163.0,163.01,238.0
163.01,163.01,163.01,163.01,0.0
163.01,164.3,163.01,164.29,290.0
164.29,164.4,164.16,164.16,1002.0
164.16,164.16,163.81,163.81,3.0
163.81,163.81,163.8,163.8,75.0
163.8,164.5,163.8,164.34,339.0
164.34,164.34,163.8,163.8,100.0
163.8,163.8,163.8,163.8,0.0
163.8,163.8,163.8,163.8,0.0
163.8,163.8,163.8,163.8,50.0
163.8,163.8,163.8,163.8,0.0
163.8,163.8,163.8,163.8,0.0
163.8,163.8,163.8,163.8,0.0
163.8,164.31,163.8,164.31,1.0
164.31,164.31,162.98,163.0,625.0
163.0,163.0,162.54,162.54,152.0
162.54,162.55,162.54,162.55,1.0
162.55,162.55,162.54,162.54,279.0
162.54,162.54,162.54,162.54,9.0
162.54,163.19,162.54,163.19,168.0
163.19,163.78,162.6,163.45,259.0
163.45,163.45,163.45,163.45,0.0
163.45,164.0,162.01,164.0,487.0
164.0,164.0,164.0,164.0,0.0
164.0,164.0,164.0,164.0,0.0
164.0,164.0,164.0,164.0,0.0
164.0,164.01,164.0,164.01,205.0
164.01,164.01,164.01,164.01,0.0
164.69,164.69,164.69,164.69,100.0
164.69,164.69,164.69,164.69,0.0
164.69,164.69,164.69,164.69,0.0
164.69,164.69,164.38,164.6,222.0
164.6,164.6,164.6,164.6,0.0
164.6,164.6,164.0,164.0,72.0
164.0,164.0,164.0,164.0,2.0
164.0,164.0,163.98,163.98,5.0
163.98,164.19,163.98,164.19,176.0
164.19,164.19,164.19,164.19,0.0
164.19,164.99,164.19,164.99,90.0
164.99,164.99,164.0,164.0,154.0
164.0,164.0,162.62,162.62,88.0
162.62,162.62,162.62,162.62,0.0
162.62,162.62,162.62,162.62,0.0
162.62,163.8,162.0,163.73,1462.0
163.73,163.73,163.73,163.73,0.0
163.73,163.73,163.73,163.73,0.0
163.73,163.73,163.73,163.73,0.0
163.73,163.73,163.73,163.73,0.0
163.5,163.5,163.41,163.41,235.0
163.25,163.5,162.59,162.59,249.0
162.59,163.5,161.2,163.5,1264.0
163.5,163.5,162.99,162.99,345.0
