open,high,low,close,volume
236.2,238.4,233.5,233.7,34461.0
233.7,234.2,233.1,233.55,15319.0
233.55,235.0,233.4,234.35,23092.0
234.35,234.75,234.2,234.75,4998.0
234.75,234.95,234.5,234.6,6785.0
234.5,235.25,234.5,235.1,16315.0
235.1,235.5,234.5,234.75,19957.0
234.75,235.8,234.55,235.7,15865.0
235.7,235.7,234.55,234.55,2198.0
234.55,234.55,233.55,233.9,8462.0
233.7,234.05,233.5,233.65,4390.0
233.65,234.1,233.5,233.6,4044.0
233.55,234.35,233.5,233.9,3217.0
233.9,234.55,233.8,233.8,1425.0
233.8,234.35,233.75,233.85,2126.0
233.85,234.05,233.7,234.0,2058.0
234.0,234.35,233.1,233.25,5494.0
233.25,233.85,233.0,233.45,7453.0
233.45,233.8,233.05,233.25,3067.0
233.25,233.8,233.0,233.3,6113.0
233.3,233.9,233.05,233.1,3531.0
233.1,233.25,232.6,232.8,4442.0
232.8,233.15,232.6,232.7,1744.0
232.7,233.45,232.55,233.2,4370.0
233.2,234.7,232.85,234.7,8266.0
234.7,234.7,233.35,233.55,2704.0
233.55,233.7,233.15,233.25,2699.0
233.25,233.25,232.7,233.15,3306.0
233.15,233.55,233.0,233.1,1369.0
233.1,233.5,232.65,233.0,1872.0
233.0,233.35,232.9,232.95,1199.0
232.95,233.5,232.8,233.05,1906.0
233.05,233.2,232.8,232.95,1418.0
232.95,233.65,232.65,233.05,4564.0
233.05,233.35,232.8,233.15,6315.0
233.05,233.25,233.0,233.25,1555.0
233.0,233.55,233.0,233.5,1249.0
233.25,233.7,233.0,233.45,1615.0
233.3,233.75,233.15,233.4,1624.0
233.4,234.25,233.0,233.9,4478.0
233.9,234.3,233.8,233.9,4482.0
233.9,234.25,233.8,233.85,1486.0
233.85,234.15,233.6,233.6,1561.0
233.65,234.0,233.4,233.55,2836.0
233.55,233.8,233.4,233.55,2066.0
233.55,233.8,233.3,233.55,1590.0
233.55,233.9,233.25,233.55,1642.0
233.55,234.0,233.55,233.75,1451.0
233.75,234.0,233.6,233.75,1309.0
233.75,234.0,233.6,233.6,4048.0
233.7,234.0,233.4,233.7,1836.0
233.95,234.0,233.35,233.35,482.0
233.35,233.7,233.35,233.4,67.0
233.4,233.4,233.15,233.4,504.0
233.2,233.45,232.0,232.05,24180.0
232.05,232.6,232.05,232.5,1162.0
232.5,232.75,232.0,232.0,7428.0
232.0,232.5,232.0,232.2,630.0
232.25,232.5,232.15,232.2,252.0
