open,high,low,close,volume
218.96,219.1,217.8,218.18,6376.0
218.18,218.77,218.04,218.55,4471.0
218.55,219.46,218.45,219.06,4076.0
219.06,219.25,218.84,219.21,4081.0
219.21,219.23,218.75,219.18,775.0
219.18,219.35,218.32,218.72,5310.0
218.72,218.72,218.4,218.69,1976.0
218.69,218.95,218.41,218.95,3224.0
218.95,218.95,218.4,218.67,710.0
218.67,218.89,218.53,218.6,2601.0
218.6,218.95,218.54,218.8,1223.0
218.8,218.8,218.59,218.71,282.0
218.71,218.95,218.51,218.66,2523.0
218.67,218.93,218.66,218.89,328.0
218.89,218.89,218.52,218.74,716.0
218.74,218.74,218.41,218.64,1298.0
218.64,218.64,218.26,218.46,751.0
218.25,218.75,218.25,218.36,3565.0
218.36,218.84,218.1,218.78,3193.0
218.78,218.9,218.5,218.9,651.0
218.9,218.9,218.16,218.39,624.0
218.39,218.55,218.25,218.5,181.0
218.29,218.5,218.14,218.25,823.0
218.25,218.44,218.12,218.38,1943.0
218.38,218.63,218.1,218.25,3750.0
218.25,218.47,218.1,218.47,531.0
218.47,218.47,218.11,218.38,1663.0
218.38,218.38,218.12,218.21,386.0
218.21,218.36,218.1,218.35,1469.0
218.35,218.36,218.1,218.3,772.0
218.3,218.3,218.17,218.21,353.0
218.3,218.59,218.3,218.5,957.0
218.5,218.5,218.39,218.39,91.0
218.39,218.45,218.2,218.43,1279.0
218.43,218.45,218.2,218.36,2851.0
218.36,218.36,218.2,218.34,842.0
218.3,218.3,218.2,218.26,345.0
218.26,218.26,218.2,218.2,306.0
