open,high,low,close,volume
290.7,291.6,288.65,291.05,192347.0
291.05,292.45,291.05,291.55,131746.0
291.55,291.65,290.7,291.2,55326.0
291.2,291.45,290.2,290.35,50524.0
290.35,290.6,289.75,290.15,63287.0
290.15,290.55,289.8,290.5,30194.0
290.5,290.95,290.1,290.1,46509.0
290.1,290.5,290.05,290.2,18846.0
290.1,290.55,290.1,290.3,21517.0
290.3,290.55,290.05,290.35,16290.0
290.35,290.45,289.5,289.6,31108.0
289.6,290.35,289.5,289.85,14792.0
289.85,290.1,289.3,289.45,22825.0
289.6,289.8,289.3,289.55,11385.0
289.55,289.7,289.35,289.4,8734.0
289.55,289.55,289.15,289.5,10524.0
289.5,290.0,289.4,289.85,12207.0
289.85,290.1,289.75,290.05,8896.0
290.0,290.25,289.7,290.1,46145.0
290.1,290.55,290.05,290.5,13595.0
290.5,290.95,290.15,290.35,25644.0
290.35,290.35,290.05,290.3,5605.0
290.3,290.45,290.05,290.15,7509.0
290.15,290.4,289.6,289.6,25496.0
289.6,290.0,289.55,289.9,13381.0
289.9,289.95,289.65,289.8,6469.0
289.8,289.95,289.75,289.9,2926.0
289.9,290.35,289.75,290.0,36077.0
290.0,290.05,289.75,290.0,8985.0
290.0,290.0,289.0,289.05,38236.0
289.05,289.2,288.7,288.8,29951.0
288.85,289.3,288.85,289.1,13201.0
289.1,289.4,288.5,289.05,43327.0
289.05,289.8,289.0,289.7,16896.0
289.7,289.7,289.05,289.2,6168.0
289.2,289.25,288.75,289.1,25966.0
289.1,289.45,289.0,289.25,5080.0
289.25,290.45,289.25,290.25,38646.0
290.25,290.4,290.1,290.25,14748.0
290.2,290.35,289.95,290.0,24967.0
290.0,290.15,289.9,290.0,10529.0
290.0,290.25,289.95,290.05,11805.0
290.05,290.1,289.65,289.8,13321.0
289.8,289.95,289.6,289.95,10883.0
289.95,290.1,289.75,290.1,14694.0
290.0,290.3,290.0,290.15,14740.0
290.15,290.45,290.0,290.25,20144.0
290.25,290.4,290.0,290.25,9257.0
290.25,290.5,290.0,290.5,25598.0
290.5,290.7,290.4,290.7,9921.0
290.7,290.8,290.25,290.6,23488.0
290.6,290.95,290.4,290.9,45722.0
290.9,290.9,290.4,290.55,13716.0
290.55,290.7,290.5,290.65,9508.0
290.7,290.7,290.45,290.65,17480.0
290.6,290.7,290.45,290.7,12870.0
290.7,290.85,290.55,290.75,16978.0
290.75,290.95,290.7,290.95,6212.0
290.8,290.95,290.55,290.6,19445.0
290.6,290.8,290.55,290.7,12854.0
290.7,290.9,290.6,290.7,16514.0
290.7,290.75,290.45,290.55,47528.0
290.55,290.6,290.3,290.6,17899.0
290.55,290.75,290.5,290.55,12346.0
290.55,290.7,290.0,290.25,17878.0
290.25,290.35,290.05,290.2,21038.0
290.2,290.7,290.15,290.6,26209.0
290.6,290.6,290.35,290.55,17379.0
