open,high,low,close,volume
366.0,367.2,362.35,363.0,14364.0
363.0,363.25,360.75,362.9,3099.0
362.9,363.5,362.0,362.75,3018.0
362.75,363.45,362.0,362.8,3742.0
362.8,363.5,362.3,363.5,1422.0
363.5,365.4,363.1,365.4,6372.0
365.4,365.4,364.45,365.4,1561.0
365.35,366.5,364.05,366.1,10591.0
366.1,367.2,365.05,365.9,3381.0
365.9,366.0,365.15,365.75,2004.0
365.75,366.45,365.3,366.45,1814.0
366.2,366.5,365.3,366.4,4263.0
366.5,367.0,366.3,367.0,2069.0
367.0,367.0,366.05,367.0,5073.0
367.0,367.4,366.3,366.3,1192.0
366.3,367.0,365.0,365.0,3806.0
365.35,366.05,365.1,365.15,1653.0
365.15,365.4,364.15,365.25,1822.0
365.25,365.8,365.25,365.35,948.0
365.35,365.9,365.0,365.0,1592.0
365.0,365.0,364.0,364.3,1336.0
364.3,364.3,362.8,363.1,2579.0
363.1,363.1,361.95,362.35,5652.0
362.15,362.5,361.55,361.75,2076.0
361.75,361.75,359.0,359.55,14963.0
359.55,360.55,359.1,360.0,1551.0
360.0,361.2,360.0,360.5,1506.0
360.6,361.0,359.6,360.25,4471.0
360.25,360.85,360.0,360.65,1919.0
360.65,360.75,359.1,360.15,5808.0
360.15,360.5,359.75,360.2,732.0
360.2,360.2,359.5,360.1,1155.0
360.1,360.1,359.0,359.55,4341.0
359.55,359.9,358.15,359.0,3931.0
359.0,359.7,358.75,359.1,2254.0
359.05,360.15,359.0,359.65,3320.0
359.65,360.0,359.35,359.9,1131.0
359.9,360.6,359.7,359.95,1825.0
359.95,360.4,359.15,359.35,2853.0
359.35,359.95,359.1,359.4,1614.0
359.4,360.1,359.4,359.5,1211.0
359.5,359.95,359.2,359.5,908.0
359.5,359.65,359.0,359.3,1624.0
359.3,359.75,359.05,359.05,1072.0
359.05,359.8,359.05,359.5,229.0
359.6,360.1,358.3,358.85,3415.0
358.85,359.55,358.85,359.35,744.0
359.35,359.55,358.95,359.0,416.0
358.95,359.95,358.95,359.3,612.0
359.3,359.95,359.05,359.05,155.0
359.05,359.95,359.0,359.05,1021.0
359.05,359.5,359.0,359.0,736.0
359.45,359.7,359.05,359.15,910.0
359.15,359.75,359.15,359.25,570.0
359.25,359.8,359.25,359.3,384.0
359.3,359.9,359.3,359.5,1132.0
359.5,359.9,359.5,359.5,256.0
359.8,360.0,359.6,359.65,1018.0
359.95,359.95,359.15,359.2,2011.0
359.2,359.65,358.9,358.9,993.0
358.65,359.75,358.65,359.65,1632.0
359.65,361.0,359.35,360.0,4826.0
360.0,360.45,359.65,360.0,1874.0
360.25,360.25,359.6,359.6,972.0
359.6,360.25,359.5,359.5,682.0
359.5,359.95,359.05,359.95,954.0
359.95,360.5,359.05,359.25,3181.0
359.25,359.8,359.25,359.6,556.0
