open,high,low,close,volume
605.1,608.65,604.7,608.2,16942.0
608.2,617.6,607.75,616.45,23613.0
616.45,617.95,612.85,613.15,17439.0
612.95,616.3,612.6,616.3,7057.0
615.7,616.4,615.1,615.7,3944.0
615.0,616.0,615.0,616.0,7349.0
616.0,616.0,615.05,615.5,1954.0
615.5,621.0,615.0,620.5,23235.0
620.5,620.5,618.05,618.85,10610.0
618.85,619.75,618.05,619.65,5208.0
619.65,619.95,618.4,619.1,2824.0
619.1,619.75,618.85,619.3,1162.0
619.3,620.65,619.3,620.35,5219.0
620.35,624.5,620.0,621.0,37567.0
621.0,621.3,620.05,620.25,2713.0
620.25,624.0,620.25,622.65,6041.0
622.65,623.05,621.4,621.55,3027.0
621.55,621.9,619.3,619.45,5738.0
619.45,620.0,619.25,619.75,2265.0
619.75,620.0,619.3,619.6,3221.0
619.6,619.9,619.5,619.5,304.0
619.5,619.9,619.0,619.0,3851.0
619.0,622.95,618.4,622.35,8083.0
622.35,622.9,621.0,622.9,8139.0
622.9,623.1,621.4,621.7,4490.0
622.1,622.2,621.6,622.2,695.0
622.2,622.3,621.4,621.7,2453.0
621.7,622.0,621.7,621.9,809.0
622.2,622.5,621.3,622.3,3849.0
622.3,622.5,621.45,622.0,785.0
622.0,622.0,621.35,621.8,381.0
621.8,622.0,620.3,620.4,5949.0
620.4,620.55,619.8,620.15,1773.0
620.15,620.55,620.0,620.35,1394.0
620.35,620.35,619.1,619.1,1416.0
619.2,619.4,618.6,618.6,2240.0
618.6,619.75,618.5,619.0,865.0
619.0,619.25,618.0,618.55,4013.0
618.55,618.8,617.55,617.6,3360.0
617.6,618.0,617.4,617.4,617.0
617.6,617.6,616.75,616.75,2866.0
616.75,617.45,616.75,617.45,397.0
617.45,617.45,616.05,616.05,1348.0
616.05,616.2,616.0,616.05,920.0
616.05,616.05,615.05,615.5,1728.0
615.5,615.5,615.05,615.1,1388.0
615.1,616.35,615.1,616.1,2437.0
616.1,616.25,616.1,616.25,1.0
