open,high,low,close,volume
597.15,597.15,585.1,589.0,11049.0
589.0,590.0,587.2,588.45,5262.0
588.45,589.55,586.1,587.35,5086.0
587.35,588.7,586.55,587.25,4396.0
587.25,587.9,585.35,586.55,5885.0
586.55,587.7,585.05,585.45,3949.0
585.45,587.25,582.8,585.8,6632.0
584.75,585.7,584.2,584.3,3095.0
584.3,584.75,583.15,583.15,7522.0
583.85,588.8,583.3,587.45,5703.0
587.45,588.1,586.45,586.45,2177.0
587.0,587.0,585.15,586.0,687.0
586.05,586.25,585.1,586.0,772.0
586.5,586.5,585.65,586.1,1286.0
586.1,586.55,585.7,585.7,1030.0
585.7,585.7,585.0,585.65,845.0
585.65,586.0,585.65,585.85,370.0
585.85,586.9,585.65,586.5,1266.0
586.5,587.25,586.3,587.25,450.0
587.25,592.35,587.25,591.45,11112.0
591.45,591.75,589.9,591.0,1707.0
591.25,593.45,591.15,591.15,4418.0
591.15,591.2,589.9,590.05,3687.0
590.05,590.6,589.25,589.4,1795.0
589.4,590.55,588.4,589.05,2456.0
589.05,589.95,587.85,589.2,2354.0
589.2,590.95,589.2,590.95,1425.0
590.95,590.95,590.0,590.0,255.0
590.5,591.4,590.0,591.05,1488.0
591.05,592.6,590.7,591.1,12135.0
591.1,592.25,590.5,591.45,1616.0
591.45,591.45,590.95,591.0,146.0
591.0,591.55,591.0,591.55,411.0
591.55,591.75,591.5,591.6,750.0
591.6,591.85,590.25,590.75,1159.0
590.75,591.1,589.5,589.65,2209.0
589.65,590.4,589.4,590.0,636.0
590.0,590.8,590.0,590.65,1099.0
590.65,591.8,590.55,590.55,1560.0
590.55,591.15,590.5,590.6,450.0
590.6,591.1,590.0,590.3,764.0
590.3,590.6,590.0,590.45,325.0
590.45,590.45,590.0,590.0,328.0
590.0,590.0,589.1,589.55,298.0
589.1,589.6,589.0,589.2,516.0
589.55,589.9,589.4,589.8,314.0
589.8,589.8,589.15,589.65,398.0
589.65,589.65,589.1,589.5,369.0
589.65,589.95,589.05,589.5,696.0
589.5,590.0,589.1,589.35,933.0
589.1,589.9,589.1,589.65,467.0
589.65,589.85,588.15,588.15,6448.0
588.35,589.5,588.2,589.0,684.0
589.0,589.3,588.2,589.0,557.0
589.0,589.4,589.0,589.0,567.0
589.0,589.85,588.7,589.85,854.0
589.85,590.1,589.8,589.8,931.0
589.8,590.5,589.3,590.0,966.0
590.0,591.0,590.0,590.2,1789.0
590.2,590.4,589.0,589.15,275.0
589.15,591.4,588.25,590.1,4918.0
590.0,591.3,588.85,590.25,2399.0
590.25,591.0,590.05,591.0,375.0
591.0,591.0,590.2,590.2,113.0
590.2,590.75,590.0,590.0,3004.0
590.0,590.2,589.2,589.45,1002.0
589.45,590.65,589.45,590.5,2178.0
590.5,590.55,590.0,590.3,1078.0
