open,high,low,close,volume
823.8,823.8,817.2,818.65,915.0
818.65,821.0,817.05,819.95,1542.0
819.95,820.05,818.0,819.6,1280.0
819.6,819.6,815.3,817.6,2767.0
817.6,817.6,816.0,816.9,829.0
816.9,818.05,816.8,817.4,340.0
816.95,817.9,816.95,817.4,299.0
817.4,817.9,816.8,817.1,216.0
817.1,817.1,816.9,816.9,143.0
816.9,817.9,816.9,816.95,261.0
816.95,821.65,816.0,820.25,7626.0
820.25,820.25,818.3,820.25,2539.0
820.25,820.25,816.6,817.0,901.0
817.55,817.7,816.05,816.45,649.0
816.45,816.45,815.65,816.2,1885.0
816.2,817.0,815.9,817.0,542.0
817.0,817.0,815.75,816.5,500.0
816.5,817.7,816.5,817.15,784.0
817.15,817.15,816.0,816.35,398.0
816.35,818.1,816.35,816.75,756.0
816.7,817.8,816.0,817.0,689.0
817.0,817.7,816.05,816.7,765.0
816.7,817.05,816.0,817.05,454.0
817.05,819.0,816.35,817.25,2196.0
817.25,817.25,816.05,816.45,414.0
816.45,817.15,816.1,816.5,304.0
816.5,817.55,816.05,817.5,1277.0
817.5,818.5,816.5,818.5,462.0
818.5,819.45,818.15,819.45,543.0
819.45,819.65,818.05,818.6,866.0
818.6,819.45,817.9,819.45,433.0
819.45,820.1,819.0,819.2,411.0
819.2,819.45,819.0,819.1,215.0
819.1,819.45,819.0,819.45,805.0
819.45,819.45,816.2,817.7,5508.0
817.7,819.0,817.7,818.35,3684.0
818.35,818.35,817.15,818.0,1175.0
818.05,818.85,817.15,818.35,1012.0
817.9,819.5,817.9,819.2,2285.0
819.2,820.35,818.85,820.05,1013.0
820.05,820.6,819.75,820.0,1392.0
820.0,820.6,820.0,820.35,697.0
820.35,820.45,818.5,818.75,3885.0
819.8,820.0,818.0,819.0,6353.0
819.0,819.25,818.6,818.85,118.0
818.85,821.3,818.75,821.1,1767.0
821.1,821.1,820.55,820.8,622.0
820.8,821.35,820.65,821.25,473.0
821.25,821.5,820.45,820.45,259.0
820.45,821.7,820.45,821.55,1233.0
821.55,826.2,821.35,824.65,3061.0
824.65,825.25,823.5,823.65,655.0
823.65,823.9,823.65,823.9,509.0
823.9,823.9,823.8,823.85,527.0
823.85,823.9,823.15,823.45,435.0
823.45,823.9,823.45,823.9,560.0
823.9,823.9,823.7,823.85,441.0
823.85,823.9,823.65,823.75,422.0
823.75,823.75,823.15,823.15,871.0
823.1,823.2,823.1,823.15,793.0
823.15,823.15,822.4,822.4,697.0
822.4,822.7,821.95,822.7,1828.0
822.6,822.7,821.45,821.65,1357.0
821.65,824.0,821.65,822.95,1683.0
822.95,822.95,821.6,821.6,895.0
821.6,821.6,820.8,821.05,1559.0
821.05,822.4,821.05,822.05,891.0
822.05,822.05,821.1,821.45,778.0
