open,high,low,close,volume
409.3,409.75,408.6,409.4,39471.0
409.4,409.95,408.9,409.15,49372.0
409.35,409.35,409.0,409.35,14064.0
409.3,409.3,408.35,408.8,55262.0
408.8,408.85,408.5,408.75,24146.0
408.75,408.8,407.95,408.8,101397.0
408.9,408.95,408.65,408.85,30166.0
408.85,408.95,408.75,408.85,18977.0
408.85,408.95,408.7,408.95,19964.0
408.95,409.0,407.85,408.0,57615.0
407.95,408.1,407.8,408.0,22672.0
408.0,408.05,407.05,407.6,48319.0
407.65,407.75,407.55,407.75,24968.0
407.75,408.2,407.5,407.95,25220.0
408.0,408.15,407.9,408.15,17016.0
408.15,408.25,407.8,408.0,18889.0
408.0,408.1,407.85,408.05,10169.0
408.1,408.25,408.05,408.25,13805.0
408.25,408.55,408.25,408.5,17688.0
408.5,408.5,406.9,407.7,378618.0
407.7,407.7,407.5,407.5,31543.0
407.55,408.05,406.85,407.05,322970.0
407.05,407.55,406.8,407.3,64905.0
407.3,407.3,407.05,407.2,27583.0
407.2,407.4,406.9,407.25,45552.0
407.25,407.4,406.95,407.0,167329.0
407.0,407.5,406.95,407.4,106622.0
407.4,407.4,406.85,407.0,27798.0
406.95,407.0,406.95,407.0,52881.0
407.0,407.05,406.7,406.85,67562.0
406.85,407.0,406.75,407.0,28225.0
406.95,407.0,406.95,406.95,32900.0
406.95,407.45,406.8,407.4,114288.0
407.4,407.45,407.1,407.25,31670.0
407.25,407.45,407.15,407.35,15315.0
407.35,407.45,406.9,407.0,64604.0
407.0,407.0,406.95,406.95,30754.0
407.0,407.0,406.95,407.0,23506.0
407.0,407.0,406.85,406.95,27706.0
406.95,407.0,406.9,407.0,15103.0
407.0,407.0,406.9,407.0,119497.0
407.0,407.4,406.95,407.35,66363.0
407.35,407.4,407.0,407.15,55900.0
407.15,407.2,407.0,407.15,91547.0
407.15,408.3,407.15,408.3,178463.0
408.3,408.7,408.05,408.35,38334.0
408.35,408.35,407.45,407.5,40224.0
407.5,407.6,407.1,407.5,75483.0
407.5,407.9,407.0,407.75,93012.0
407.7,407.8,407.5,407.8,32937.0
407.8,407.95,407.65,407.95,17713.0
407.95,407.95,407.75,407.8,14882.0
407.8,408.05,407.65,408.05,18719.0
408.05,408.15,407.85,408.1,20529.0
408.1,408.15,407.8,408.0,23115.0
407.9,408.15,407.8,408.1,36915.0
408.05,408.25,408.05,408.2,12147.0
408.2,408.25,408.0,408.05,23881.0
408.05,408.1,407.95,408.05,21038.0
408.05,408.05,408.0,408.05,8289.0
408.05,408.05,408.0,408.05,13264.0
408.05,408.25,408.0,408.2,34934.0
408.1,408.35,408.0,408.15,52659.0
408.15,408.35,408.0,408.0,46537.0
408.0,408.2,407.9,408.2,30265.0
408.2,408.25,408.0,408.15,38080.0
408.1,408.25,407.95,408.15,32053.0
408.15,408.2,407.95,408.05,27171.0
