open,high,low,close,volume
1800.5,1802.8,1788.0,1801.1,63384.0
1801.1,1810.9,1800.8,1807.2,49673.0
1807.2,1812.8,1804.3,1812.7,32700.0
1812.7,1814.4,1809.7,1813.7,31950.0
1813.7,1817.4,1810.7,1812.4,43937.0
1812.4,1813.8,1809.8,1812.7,18360.0
1812.7,1813.6,1809.0,1809.3,21071.0
1809.2,1810.0,1806.8,1809.5,17040.0
1809.5,1810.9,1809.5,1809.9,12655.0
1809.9,1810.9,1807.7,1809.1,20680.0
1809.1,1813.5,1809.1,1812.6,11160.0
1811.5,1813.7,1809.9,1813.1,11494.0
1813.1,1813.1,1808.0,1808.3,15147.0
1808.3,1808.8,1804.7,1806.4,26852.0
1806.4,1808.9,1804.0,1804.0,38518.0
1804.0,1808.8,1803.8,1808.5,55814.0
1808.5,1812.0,1806.7,1807.3,28823.0
1807.3,1809.7,1807.3,1809.0,9671.0
1809.0,1809.5,1808.5,1808.7,7147.0
1808.7,1809.8,1806.7,1806.8,44781.0
1806.8,1808.4,1805.9,1808.2,18107.0
1808.2,1810.0,1804.5,1809.9,109131.0
1809.9,1810.0,1807.2,1807.6,26978.0
1807.6,1808.0,1801.4,1803.8,72699.0
1804.0,1804.8,1802.7,1802.9,45787.0
1802.9,1803.8,1802.7,1803.0,66941.0
1803.0,1805.0,1802.8,1804.5,27547.0
1804.5,1804.5,1801.5,1802.6,60895.0
1802.6,1808.0,1802.0,1804.9,19655.0
1804.8,1810.5,1804.3,1809.2,8530.0
1809.2,1814.2,1808.5,1811.7,33805.0
1812.0,1816.5,1811.7,1814.7,18925.0
1814.7,1819.0,1814.7,1816.6,18959.0
1816.6,1821.0,1816.3,1818.4,31366.0
1818.4,1822.0,1817.0,1821.0,25380.0
1821.5,1827.4,1821.0,1826.4,36025.0
1826.4,1826.4,1820.0,1821.5,22833.0
1821.5,1823.5,1820.2,1822.4,12407.0
1822.4,1824.8,1822.1,1824.8,8423.0
1824.8,1824.8,1822.2,1823.6,13857.0
1823.6,1825.0,1822.0,1822.8,10523.0
1822.8,1823.4,1822.0,1822.7,6783.0
1822.1,1823.6,1821.0,1822.4,18161.0
1822.4,1822.4,1817.5,1819.1,52272.0
1819.1,1820.6,1819.1,1820.5,8793.0
1820.5,1821.0,1818.0,1818.2,7164.0
1818.5,1819.0,1816.6,1816.9,10275.0
1816.9,1818.9,1816.0,1818.4,6798.0
1818.4,1819.3,1817.8,1817.8,7613.0
1817.8,1818.0,1817.1,1817.5,5342.0
1817.5,1818.0,1814.6,1815.4,12602.0
1815.4,1816.8,1815.1,1816.5,4696.0
1816.5,1824.6,1816.3,1823.3,24140.0
1823.3,1823.5,1822.2,1823.1,8447.0
1823.0,1823.2,1822.0,1822.0,6443.0
1822.0,1822.9,1822.0,1822.6,6271.0
1822.6,1823.3,1820.8,1821.5,10879.0
1821.5,1827.9,1820.3,1826.8,30653.0
1827.8,1827.9,1825.1,1825.6,13917.0
1825.6,1826.3,1823.8,1824.3,14312.0
1824.3,1825.8,1823.8,1825.8,17792.0
1825.1,1826.6,1824.9,1826.0,70811.0
1826.0,1827.9,1825.5,1826.2,18090.0
1827.0,1829.9,1826.5,1828.0,16284.0
1828.0,1829.0,1826.6,1828.2,17662.0
1828.2,1828.2,1825.8,1826.2,12686.0
1826.1,1826.1,1825.1,1825.7,14735.0
1825.7,1825.7,1823.5,1823.7,13797.0
