open,high,low,close,volume
762.1,764.9,761.0,761.0,176.0
761.0,762.85,761.0,762.85,50.0
762.85,765.9,762.55,762.55,582.0
762.55,765.2,761.7,765.2,219.0
765.2,765.2,765.15,765.15,1.0
764.3,767.7,764.15,767.6,466.0
767.6,769.65,767.55,768.45,239.0
768.45,768.65,767.75,767.75,188.0
767.75,768.6,767.75,767.75,4.0
767.75,767.75,767.75,767.75,0.0
767.75,769.25,767.75,769.25,25.0
769.25,769.25,767.05,767.05,314.0
767.05,767.85,766.55,767.85,326.0
767.85,767.85,767.8,767.8,232.0
767.8,767.8,767.8,767.8,0.0
767.8,767.8,766.85,766.85,5.0
766.55,766.95,766.55,766.95,34.0
766.95,766.95,766.95,766.95,0.0
766.95,766.95,766.95,766.95,0.0
767.0,767.0,767.0,767.0,24.0
767.0,767.0,767.0,767.0,0.0
767.0,767.0,767.0,767.0,2.0
767.0,767.0,767.0,767.0,65.0
767.0,767.0,765.0,765.0,73.0
765.0,765.0,763.05,763.05,28.0
763.05,763.9,760.55,761.7,207.0
761.7,770.4,761.7,770.4,1324.0
770.4,770.4,770.4,770.4,0.0
770.4,771.4,768.55,768.55,239.0
768.55,768.55,768.55,768.55,0.0
768.55,768.55,768.55,768.55,0.0
768.55,772.0,768.55,770.6,1011.0
770.6,775.15,770.6,775.15,349.0
775.15,776.0,775.0,776.0,548.0
776.0,781.0,776.0,777.8,665.0
777.8,783.0,775.05,779.4,1151.0
779.4,798.0,779.4,794.25,4587.0
794.25,795.0,787.5,791.75,1308.0
791.75,792.95,789.85,792.75,800.0
792.75,792.85,788.2,791.8,837.0
791.8,792.0,790.0,790.1,962.0
788.9,792.0,788.9,792.0,1193.0
792.0,793.8,790.1,791.0,480.0
791.0,791.1,790.85,790.85,170.0
790.85,792.0,790.85,792.0,588.0
792.0,793.0,792.0,793.0,118.0
793.95,795.55,790.2,795.0,5193.0
795.0,798.95,795.0,797.0,2090.0
797.0,798.6,796.1,796.1,500.0
796.0,796.85,795.0,796.85,373.0
796.85,796.85,794.0,796.3,1123.0
797.0,797.5,795.05,797.15,791.0
797.15,802.5,795.0,800.25,6503.0
800.25,806.0,799.0,803.0,5138.0
803.0,818.7,802.85,815.95,9854.0
818.2,820.0,812.0,812.0,12527.0
815.05,815.05,805.0,806.4,5620.0
806.4,825.0,805.25,821.6,15714.0
825.0,825.0,812.4,816.4,7383.0
816.4,817.85,810.1,810.1,3151.0
810.0,812.3,807.7,809.55,3435.0
808.45,816.0,808.4,814.0,2097.0
812.7,813.95,808.25,810.0,2181.0
812.75,819.95,812.75,816.4,5288.0
816.4,824.0,812.45,823.75,4905.0
823.75,825.0,820.1,820.1,9102.0
820.1,821.6,816.85,818.3,1620.0
818.3,818.3,809.1,814.9,6894.0
814.9,815.0,813.1,814.8,2283.0
814.8,814.8,806.0,808.0,3920.0
808.0,808.0,805.0,805.15,1978.0
805.15,808.0,805.1,808.0,2765.0
808.0,810.0,805.6,810.0,3293.0
810.0,822.25,810.0,822.25,62715.0
822.25,825.0,821.25,823.05,2703.0
