open,high,low,close,volume
194.0,195.27,193.71,194.18,66893.0
194.35,196.96,193.57,196.5,74410.0
196.5,196.5,195.34,195.5,14198.0
195.5,195.5,194.78,194.99,20096.0
194.99,195.5,194.58,195.5,15855.0
195.5,196.59,195.42,195.85,42831.0
195.85,196.44,195.5,195.53,28428.0
195.53,196.75,195.53,196.5,19700.0
196.5,201.25,196.44,200.5,138963.0
200.5,200.5,199.0,199.34,88208.0
199.34,199.35,198.46,198.95,43125.0
198.95,199.05,197.81,198.42,27191.0
198.42,198.54,198.0,198.21,10256.0
198.21,198.57,198.02,198.34,6998.0
198.34,200.0,198.34,199.27,30533.0
199.27,200.89,199.05,200.74,65685.0
200.99,200.99,200.02,200.75,77265.0
200.75,201.04,200.0,201.04,66177.0
201.08,201.1,199.63,200.0,29358.0
199.86,199.91,198.36,199.48,49438.0
199.48,200.0,199.34,199.54,11609.0
199.76,199.86,199.08,199.17,8371.0
199.17,199.2,198.93,198.96,5515.0
198.97,199.49,198.96,199.01,8460.0
199.01,199.37,199.01,199.12,3262.0
199.12,199.17,198.71,198.82,5405.0
198.82,198.96,198.75,198.86,3583.0
198.86,199.19,198.79,199.19,13223.0
199.03,199.25,198.87,199.0,4662.0
198.95,199.0,198.83,199.0,7134.0
199.0,199.09,198.8,198.8,3540.0
198.8,199.0,198.79,198.93,3632.0
198.93,198.96,198.65,198.74,2748.0
198.74,199.25,198.74,199.25,22104.0
199.25,199.62,199.01,199.21,23882.0
199.21,199.23,198.75,199.13,3503.0
199.13,199.3,198.75,199.04,31732.0
199.04,199.24,199.0,199.09,2040.0
199.09,199.2,198.9,198.91,16310.0
198.91,199.0,198.5,198.62,9845.0
198.62,198.8,198.28,198.28,8219.0
198.28,198.59,198.18,198.5,2710.0
198.5,198.59,198.31,198.53,1575.0
198.53,198.53,198.22,198.31,3916.0
198.31,198.43,198.1,198.25,3213.0
198.25,198.3,198.1,198.2,5604.0
198.2,198.44,198.2,198.38,4831.0
198.38,198.38,198.11,198.29,1000.0
198.29,198.74,198.11,198.57,11886.0
198.57,198.57,198.3,198.4,918.0
198.4,198.48,198.1,198.31,3822.0
198.31,198.31,198.11,198.3,140.0
198.3,198.3,197.56,197.9,18525.0
197.73,198.24,197.73,198.2,3318.0
198.22,198.34,197.5,197.88,7962.0
197.88,198.0,197.77,197.92,1767.0
197.79,197.91,197.6,197.79,1976.0
197.79,198.0,197.61,197.99,12024.0
197.99,198.14,197.9,197.9,14670.0
197.91,197.97,197.6,197.71,3909.0
197.71,197.82,197.5,197.75,4892.0
197.75,197.91,197.2,197.49,12582.0
197.7,197.93,197.42,197.87,5770.0
197.9,197.96,197.78,197.89,3328.0
197.89,197.89,197.7,197.78,6114.0
197.78,198.66,197.7,198.56,16412.0
198.56,198.56,198.24,198.39,12388.0
198.39,198.48,198.3,198.39,1180.0
