open,high,low,close,volume
223.0,228.5,222.62,228.14,2632568.0
228.14,228.85,227.25,227.94,1438817.0
227.9,230.95,227.77,229.33,2186965.0
229.27,229.8,228.06,228.12,908122.0
228.12,229.0,228.01,228.45,837157.0
228.35,228.6,226.5,226.64,651783.0
226.7,228.9,226.55,228.49,516492.0
228.41,229.3,228.32,229.29,402561.0
229.3,229.98,229.3,229.65,781893.0
229.65,230.2,229.53,230.18,738920.0
230.14,230.9,230.11,230.65,748423.0
230.64,230.64,229.25,230.16,477857.0
230.16,230.44,229.36,229.38,329119.0
229.37,230.0,229.37,229.61,153324.0
229.61,229.8,229.3,229.42,133621.0
229.47,229.5,228.68,228.9,205443.0
228.9,229.0,228.13,228.95,325239.0
228.95,229.24,228.4,229.24,202326.0
229.15,229.71,229.15,229.55,146703.0
229.55,229.74,229.06,229.24,98252.0
229.24,229.64,229.08,229.64,106386.0
229.65,229.75,229.27,229.54,97828.0
229.54,229.66,228.81,229.0,129139.0
229.11,229.21,227.74,227.85,202371.0
227.84,228.14,227.22,227.91,269205.0
227.91,228.66,227.51,228.42,140481.0
228.41,228.87,228.35,228.8,80493.0
228.8,229.74,228.5,229.64,137700.0
229.58,229.9,229.43,229.67,201065.0
229.67,229.68,228.73,228.99,271118.0
228.8,229.38,228.75,229.38,107112.0
229.38,229.39,228.75,229.26,96591.0
229.3,229.47,227.7,228.0,283837.0
228.0,228.8,227.8,228.48,409415.0
228.48,228.5,227.9,228.0,139159.0
228.0,228.0,227.96,228.0,107018.0
228.0,228.25,227.95,228.0,103184.0
228.0,228.09,227.6,227.69,114848.0
227.6,228.11,227.5,227.73,134327.0
227.73,228.6,227.26,228.43,139136.0
228.49,228.8,227.0,228.23,370813.0
228.03,228.25,227.4,227.92,233193.0
227.95,228.76,227.95,228.45,128569.0
228.5,228.61,228.16,228.39,94088.0
228.39,228.58,228.21,228.44,83866.0
228.22,228.35,227.4,227.8,139112.0
227.7,228.0,227.25,228.0,148088.0
227.94,228.38,227.94,228.34,63147.0
228.35,228.8,228.35,228.79,95813.0
228.79,228.84,228.58,228.7,78723.0
228.7,228.9,228.59,228.73,118674.0
228.77,228.82,228.55,228.67,75351.0
228.67,228.86,228.56,228.84,63204.0
228.75,228.9,228.54,228.69,82673.0
228.69,228.77,228.23,228.49,80126.0
228.3,228.5,227.99,228.28,123778.0
228.28,228.35,227.92,227.99,83398.0
227.99,228.65,227.91,228.0,127799.0
227.92,228.3,227.92,228.1,58884.0
228.1,228.29,227.9,228.0,56596.0
228.0,228.15,227.75,227.99,51704.0
227.89,228.45,227.8,228.25,95956.0
228.29,228.44,228.02,228.36,81672.0
228.36,228.48,228.16,228.44,84080.0
228.43,228.49,228.2,228.25,82034.0
228.25,228.5,227.3,227.3,366033.0
227.35,227.8,227.03,227.75,211470.0
227.7,227.7,227.4,227.51,98428.0
