open,high,low,close,volume
82.95,82.95,82.5,82.6,105337.0
82.6,82.62,82.38,82.5,73187.0
82.5,82.5,82.38,82.42,46679.0
82.42,82.45,82.32,82.35,28195.0
82.35,82.44,82.35,82.43,19386.0
82.43,82.44,82.38,82.4,24925.0
82.4,82.78,82.38,82.72,48566.0
82.72,82.78,82.57,82.64,30772.0
82.71,82.71,82.51,82.56,20052.0
82.56,82.8,82.52,82.7,83629.0
82.7,82.77,82.62,82.68,45301.0
82.68,82.68,82.45,82.46,44901.0
82.46,82.58,82.46,82.48,27203.0
82.47,82.57,82.42,82.46,24246.0
82.46,82.49,82.43,82.43,6433.0
82.43,82.48,82.35,82.46,17498.0
82.46,82.5,82.42,82.45,5160.0
82.45,82.75,82.45,82.74,56493.0
82.74,83.05,82.66,83.01,385303.0
83.01,83.05,82.79,82.79,31947.0
82.79,82.86,82.74,82.76,16988.0
82.79,82.8,82.68,82.68,22630.0
82.68,82.73,82.61,82.64,20514.0
82.7,82.71,82.64,82.65,18867.0
82.65,82.7,82.56,82.65,30086.0
82.6,82.68,82.6,82.65,16471.0
82.65,82.68,82.52,82.58,14808.0
82.62,82.63,82.58,82.6,3915.0
82.58,82.6,82.54,82.6,10943.0
82.6,82.65,82.56,82.63,8519.0
82.67,82.76,82.6,82.76,46725.0
82.7,82.84,82.63,82.83,9840.0
82.83,82.85,82.73,82.77,116841.0
82.8,82.85,82.69,82.76,35268.0
82.77,82.85,82.7,82.77,10587.0
82.7,82.77,82.65,82.68,32491.0
82.68,82.7,82.63,82.65,31642.0
82.65,82.82,82.64,82.81,38473.0
82.81,82.83,82.63,82.64,45445.0
82.7,82.71,82.62,82.65,5568.0
82.66,82.8,82.65,82.76,56201.0
82.8,83.3,82.75,83.26,238246.0
83.23,83.28,83.02,83.04,69358.0
83.04,83.09,82.92,82.93,23373.0
82.93,83.02,82.93,83.01,21985.0
83.01,83.09,82.95,82.95,85000.0
82.95,83.25,82.95,83.11,131788.0
83.11,83.11,82.93,82.95,11727.0
82.96,83.0,82.92,82.99,6470.0
82.95,83.05,82.92,83.05,19177.0
83.05,83.05,82.94,82.99,15057.0
82.99,83.15,82.97,83.05,22610.0
83.05,83.16,83.04,83.14,21961.0
83.14,83.14,83.02,83.13,28648.0
83.13,83.21,83.04,83.19,23800.0
83.19,83.2,83.13,83.18,10492.0
83.18,83.27,83.13,83.25,57252.0
83.25,83.25,83.07,83.16,21972.0
83.16,83.16,83.02,83.03,16822.0
83.03,83.04,83.0,83.01,12648.0
83.01,83.03,82.93,82.96,8180.0
82.96,83.07,82.96,83.03,27701.0
83.03,83.03,82.98,83.02,3771.0
83.02,83.08,82.95,83.05,23231.0
83.0,83.0,82.92,82.98,7960.0
82.98,82.99,82.92,82.92,21745.0
82.94,83.0,82.9,82.99,23268.0
82.99,82.99,82.9,82.95,18070.0
